Número do grupo        	Número do animal	Número de lactação	Dias em Lactação	Produção hoje na sessão 1	Produção hoje na sessão 2	Produção hoje na sessão 3	Horário de Ordenha Hoje para Sessão 1	Horário de Ordenha Hoje para Sessão 2	Horário de Ordenha Hoje para Sessão 3	Duração de hoje para a sessão 1 (mm:ss)	Duração de hoje para a sessão 2 (mm:ss)	Duração de hoje para a sessão 3 (mm:ss)	Produção primeiros 2 minutos Sessão 1 hoje	Produção primeiros 2 minutos Sessão 2 hoje	Fluxo 0-15 da sessão 1 hoje	Fluxo 0-15 da sessão 2 hoje	Fluxo 15-30 da sessão 1 hoje	Fluxo 15-30 da sessão 2 hoje	Fluxo 30-60 da sessão 1 hoje	Fluxo 30-60 da sessão 2 hoje	Fluxo 60-120 da sessão 1 hoje	Fluxo 60-120 da sessão 2 hoje	Média do fluxo de hoje para a sessão 1	Média do fluxo de hoje para a sessão 2	Fluxo 0-15 da sessão 3 hoje	Pico do Fluxo de Hoje para a Sessão 1	Fluxo 15-30 da sessão 3 hoje	Pico do Fluxo de Hoje para a Sessão 2	Fluxo 30-60 da sessão 3 hoje	Fluxo 60-120 da sessão 3 hoje	Fluxo na Remoção de Hoje para a Sessão 1	Média do fluxo de hoje para a sessão 3	Fluxo na Remoção de Hoje para a Sessão 2	Pico do Fluxo de Hoje para a Sessão 3	Fluxo na Remoção de Hoje para a Sessão 3	Produção primeiros 2 minutos Sessão 3 hoje
1                      	653             	2                 	101             	15,84                    	6,70                     	                         	08:02                                	14:55                                	                                     	08:22                                  	08:00                                  	                                       	3,35                                      	5,48                                      	0,20                       	6,60                       	0,40                        	1,70                        	1,80                        	1,00                        	2,30                         	2,90                         	1,8                                   	1,6                                   	                           	3,1                                  	                            	7,6                                  	                            	                             	0,1                                     	                                      	0,2                                     	                                     	                                        	                                          
1                      	2623            	1                 	67              	12,38                    	6,16                     	                         	08:02                                	14:58                                	                                     	06:30                                  	04:11                                  	                                       	3,58                                      	3,10                                      	0,20                       	0,00                       	0,30                        	0,00                        	1,90                        	1,40                        	2,50                         	2,40                         	1,9                                   	1,4                                   	                           	3,0                                  	                            	2,7                                  	                            	                             	0,1                                     	                                      	0,1                                     	                                     	                                        	                                          
1                      	2624            	2                 	85              	16,48                    	8,68                     	                         	08:01                                	14:57                                	                                     	14:32                                  	10:09                                  	                                       	1,93                                      	1,45                                      	0,00                       	0,00                       	0,10                        	0,00                        	1,00                        	0,70                        	1,40                         	1,10                         	1,1                                   	0,8                                   	                           	1,9                                  	                            	1,5                                  	                            	                             	0,1                                     	                                      	0,1                                     	                                     	                                        	                                          
1                      	2662            	2                 	114             	12,80                    	5,21                     	                         	07:54                                	14:55                                	                                     	07:41                                  	05:55                                  	                                       	3,88                                      	4,88                                      	0,20                       	6,20                       	1,30                        	0,70                        	2,20                        	1,10                        	2,40                         	2,60                         	1,6                                   	0,3                                   	                           	2,7                                  	                            	7,6                                  	                            	                             	0,1                                     	                                      	0,1                                     	                                     	                                        	                                          
1                      	3652            	2                 	66              	12,49                    	                         	                         	07:53                                	                                     	                                     	05:41                                  	                                       	                                       	5,23                                      	                                          	0,10                       	                           	1,40                        	                            	3,10                        	                            	3,30                         	                             	2,1                                   	                                      	                           	3,7                                  	                            	                                     	                            	                             	0,2                                     	                                      	                                        	                                     	                                        	                                          
1                      	4588            	0                 	                	                         	                         	                         	                                     	                                     	                                     	                                       	                                       	                                       	                                          	                                          	                           	                           	                            	                            	                            	                            	                             	                             	                                      	                                      	                           	                                     	                            	                                     	                            	                             	                                        	                                      	                                        	                                     	                                        	                                          
1                      	4549            	0                 	                	                         	                         	                         	                                     	                                     	                                     	                                       	                                       	                                       	                                          	                                          	                           	                           	                            	                            	                            	                            	                             	                             	                                      	                                      	                           	                                     	                            	                                     	                            	                             	                                        	                                      	                                        	                                     	                                        	                                          
1                      	4448            	1                 	126             	11,58                    	                         	                         	07:54                                	                                     	                                     	10:54                                  	                                       	                                       	1,63                                      	                                          	0,10                       	                           	0,00                        	                            	0,80                        	                            	1,20                         	                             	1,0                                   	                                      	                           	1,9                                  	                            	                                     	                            	                             	0,1                                     	                                      	                                        	                                     	                                        	                                          
1                      	3579            	1                 	56              	13,21                    	5,33                     	                         	07:48                                	14:56                                	                                     	09:33                                  	05:23                                  	                                       	2,15                                      	3,73                                      	0,10                       	6,60                       	0,10                        	1,50                        	1,00                        	0,60                        	1,60                         	1,40                         	1,3                                   	0,3                                   	                           	2,5                                  	                            	7,6                                  	                            	                             	0,5                                     	                                      	0,1                                     	                                     	                                        	                                          
1                      	3527            	1                 	75              	4,61                     	                         	                         	07:48                                	                                     	                                     	06:01                                  	                                       	                                       	0,88                                      	                                          	0,00                       	                           	0,10                        	                            	0,70                        	                            	0,50                         	                             	0,7                                   	                                      	                           	1,6                                  	                            	                                     	                            	                             	0,2                                     	                                      	                                        	                                     	                                        	                                          
1                      	3475            	1                 	83              	16,52                    	6,14                     	                         	07:48                                	15:03                                	                                     	09:25                                  	04:12                                  	                                       	4,63                                      	3,88                                      	0,30                       	0,00                       	2,00                        	1,30                        	2,50                        	2,30                        	2,80                         	2,40                         	1,7                                   	1,4                                   	                           	3,1                                  	                            	2,6                                  	                            	                             	0,1                                     	                                      	0,3                                     	                                     	                                        	                                          
1                      	3424            	1                 	80              	6,61                     	5,21                     	                         	07:48                                	14:57                                	                                     	09:38                                  	09:29                                  	                                       	1,20                                      	0,93                                      	0,10                       	0,00                       	0,10                        	0,10                        	0,70                        	0,60                        	0,80                         	0,60                         	0,6                                   	0,5                                   	                           	1,1                                  	                            	1,0                                  	                            	                             	0,1                                     	                                      	0,1                                     	                                     	                                        	                                          
