Group Number        	Animal Number	Lactation Number	Days In Milk	Yield Today Session 1	Yield Today Session 2	Yield Today Session 3	Milk Time Today For Session 1	Milk Time Today For Session 2	Milk Time Today For Session 3	Duration Today Session 1 (mm:ss)	Duration Today Session 2 (mm:ss)	Duration Today Session 3 (mm:ss)	Yield First 2 Min. Session 1 Today	Yield First 2 Min. Session 2 Today	Flow 0-15 Session 1 Today	Flow 0-15 Session 2 Today	Flow 15-30 Session 1 Today	Flow 15-30 Session 2 Today	Flow 30-60 Session 1 Today	Flow 30-60 Session 2 Today	Flow 60-120 Session 1 Today	Flow 60-120 Session 2 Today	Avg flow Today For Session 1	Avg flow Today For Session 2	Flow 0-15 Session 3 Today	Peak Flow Today For Session 1	Flow 15-30 Session 3 Today	Peak Flow Today For Session 2	Flow 30-60 Session 3 Today	Flow 60-120 Session 3 Today	Take Off Flow Today For Session 1	Avg flow Today For Session 3	Take Off Flow Today For Session 2	Peak Flow Today For Session 3	Take Off Flow Today For Session 3	Yield First 2 Min. Session 3 Today
1                   	4588         	0               	            	                     	                     	                     	                             	                             	                             	                                	                                	                                	                                  	                                  	                         	                         	                          	                          	                          	                          	                           	                           	                            	                            	                         	                             	                          	                             	                          	                           	                                 	                            	                                 	                             	                                 	                                  
1                   	4549         	0               	            	                     	                     	                     	                             	                             	                             	                                	                                	                                	                                  	                                  	                         	                         	                          	                          	                          	                          	                           	                           	                            	                            	                         	                             	                          	                             	                          	                           	                                 	                            	                                 	                             	                                 	                                  
2                   	4585         	1               	57          	13.75                	                     	7.62                 	8:06 AM                      	                             	3:39 PM                      	07:00                           	                                	04:42                           	3.95                              	                                  	0.10                     	                         	0.30                      	                          	2.09                      	                          	2.80                       	                           	1.9                         	                            	0.10                     	3.2                          	0.50                      	                             	1.90                      	2.50                       	0.1                              	1.9                         	                                 	2.9                          	0.1                              	3.60                              
2                   	4586         	1               	62          	8.28                 	                     	5.33                 	8:16 AM                      	                             	3:39 PM                      	07:56                           	                                	06:03                           	1.55                              	                                  	0.10                     	                         	0.10                      	                          	0.80                      	                          	1.10                       	                           	1.0                         	                            	0.00                     	2.0                          	0.00                      	                             	0.80                      	1.10                       	0.1                              	0.9                         	                                 	1.3                          	0.2                              	1.50                              
2                   	5402         	1               	58          	3.06                 	                     	0.77                 	8:17 AM                      	                             	3:55 PM                      	03:39                           	                                	03:05                           	2.13                              	                                  	0.10                     	                         	0.00                      	                          	1.00                      	                          	1.60                       	                           	0.8                         	                            	0.00                     	1.7                          	0.00                      	                             	0.20                      	0.40                       	0.1                              	0.2                         	                                 	0.7                          	0.2                              	0.50                              
2                   	4575         	1               	55          	14.50                	                     	7.17                 	7:59 AM                      	                             	3:39 PM                      	12:03                           	                                	09:32                           	2.30                              	                                  	0.10                     	                         	0.30                      	                          	1.20                      	                          	1.60                       	                           	1.2                         	                            	0.20                     	1.9                          	0.00                      	                             	0.00                      	0.80                       	0.1                              	0.7                         	                                 	1.4                          	0.0                              	0.85                              
2                   	4577         	1               	55          	                     	                     	                     	                             	                             	                             	                                	                                	                                	                                  	                                  	                         	                         	                          	                          	                          	                          	                           	                           	                            	                            	                         	                             	                          	                             	                          	                           	                                 	                            	                                 	                             	                                 	                                  
2                   	4545         	1               	54          	14.31                	                     	7.50                 	8:00 AM                      	                             	3:38 PM                      	10:25                           	                                	07:57                           	2.28                              	                                  	0.20                     	                         	0.10                      	                          	1.20                      	                          	1.60                       	                           	1.3                         	                            	0.10                     	2.2                          	0.00                      	                             	0.30                      	0.90                       	0.0                              	1.1                         	                                 	1.7                          	0.0                              	1.08                              
2                   	4528         	1               	52          	                     	                     	                     	                             	                             	                             	                                	                                	                                	                                  	                                  	                         	                         	                          	                          	                          	                          	                           	                           	                            	                            	                         	                             	                          	                             	                          	                           	                                 	                            	                                 	                             	                                 	                                  
2                   	4536         	1               	58          	11.43                	                     	7.54                 	8:06 AM                      	                             	3:38 PM                      	08:38                           	                                	06:42                           	2.84                              	                                  	0.00                     	                         	0.20                      	                          	1.40                      	                          	2.09                       	                           	1.3                         	                            	0.10                     	2.3                          	0.00                      	                             	0.30                      	1.50                       	0.1                              	1.2                         	                                 	2.2                          	0.0                              	1.68                              
2                   	4537         	1               	55          	6.37                 	                     	4.70                 	8:06 AM                      	                             	3:55 PM                      	05:58                           	                                	05:47                           	3.12                              	                                  	0.30                     	                         	2.40                      	                          	2.09                      	                          	1.40                       	                           	1.0                         	                            	0.20                     	3.2                          	1.10                      	                             	2.30                      	1.40                       	0.2                              	0.8                         	                                 	3.1                          	0.3                              	2.88                              
3                   	5403         	1               	60          	12.67                	                     	8.13                 	8:16 AM                      	                             	3:49 PM                      	06:36                           	                                	05:22                           	3.07                              	                                  	0.10                     	                         	0.40                      	                          	1.70                      	                          	2.09                       	                           	1.9                         	                            	0.00                     	2.7                          	0.30                      	                             	1.60                      	2.09                       	0.0                              	1.5                         	                                 	2.4                          	0.1                              	2.97                              
3                   	5409         	1               	60          	11.43                	                     	18.16                	8:21 AM                      	                             	4:11 PM                      	07:24                           	                                	11:22                           	2.70                              	                                  	0.00                     	                         	0.20                      	                          	1.50                      	                          	1.90                       	                           	1.5                         	                            	0.20                     	2.5                          	0.60                      	                             	1.50                      	1.90                       	0.1                              	1.4                         	                                 	14.4                         	0.1                              	2.85                              
3                   	4582         	1               	59          	12.87                	                     	6.27                 	8:07 AM                      	                             	3:39 PM                      	11:12                           	                                	08:35                           	1.50                              	                                  	0.00                     	                         	0.00                      	                          	0.80                      	                          	1.10                       	                           	1.1                         	                            	0.00                     	1.9                          	0.00                      	                             	0.20                      	0.40                       	1.1                              	0.7                         	                                 	1.3                          	0.2                              	0.50                              
3                   	4557         	1               	47          	                     	                     	                     	                             	                             	                             	                                	                                	                                	                                  	                                  	                         	                         	                          	                          	                          	                          	                           	                           	                            	                            	                         	                             	                          	                             	                          	                           	                                 	                            	                                 	                             	                                 	                                  
3                   	4560         	1               	61          	15.64                	                     	9.13                 	8:21 AM                      	                             	3:55 PM                      	12:31                           	                                	10:15                           	1.90                              	                                  	0.00                     	                         	0.20                      	                          	0.90                      	                          	1.40                       	                           	1.2                         	                            	0.10                     	1.8                          	0.00                      	                             	0.30                      	1.10                       	0.0                              	0.5                         	                                 	1.9                          	1.2                              	1.28                              
3                   	4551         	1               	59          	14.67                	                     	9.47                 	8:21 AM                      	                             	3:55 PM                      	10:59                           	                                	08:38                           	2.85                              	                                  	0.30                     	                         	1.10                      	                          	1.60                      	                          	1.70                       	                           	1.3                         	                            	0.00                     	2.0                          	0.20                      	                             	1.10                      	1.40                       	0.0                              	1.0                         	                                 	1.7                          	0.0                              	2.00                              
3                   	4525         	1               	59          	                     	                     	4.41                 	                             	                             	3:47 PM                      	                                	                                	08:07                           	                                  	                                  	                         	                         	                          	                          	                          	                          	                           	                           	                            	                            	0.20                     	                             	0.00                      	                             	0.00                      	0.00                       	                                 	0.5                         	                                 	1.5                          	0.0                              	0.05                              
3                   	4535         	1               	59          	8.64                 	                     	5.37                 	8:17 AM                      	                             	3:47 PM                      	08:17                           	                                	06:19                           	1.73                              	                                  	0.10                     	                         	0.20                      	                          	0.90                      	                          	1.20                       	                           	1.0                         	                            	0.10                     	1.6                          	0.10                      	                             	0.60                      	1.20                       	0.1                              	0.8                         	                                 	1.6                          	0.2                              	1.55                              
3                   	4066         	1               	62          	9.06                 	                     	6.76                 	8:21 AM                      	                             	3:45 PM                      	13:56                           	                                	11:20                           	0.90                              	                                  	0.00                     	                         	0.00                      	                          	0.40                      	                          	0.70                       	                           	0.6                         	                            	0.10                     	1.3                          	0.00                      	                             	0.40                      	0.50                       	0.0                              	0.5                         	                                 	1.1                          	0.1                              	0.73                              
4                   	5407         	1               	63          	13.09                	                     	8.71                 	8:37 AM                      	                             	4:27 PM                      	10:36                           	                                	08:42                           	1.95                              	                                  	0.00                     	                         	0.20                      	                          	1.00                      	                          	1.40                       	                           	1.2                         	                            	0.00                     	1.9                          	0.10                      	                             	0.80                      	1.10                       	0.1                              	1.0                         	                                 	1.6                          	0.1                              	1.53                              
4                   	4587         	1               	67          	19.67                	                     	                     	8:43 AM                      	                             	                             	09:09                           	                                	                                	1.90                              	                                  	0.00                     	                         	0.20                      	                          	1.10                      	                          	1.30                       	                           	10.4                        	                            	                         	1.9                          	                          	                             	                          	                           	0.2                              	                            	                                 	                             	                                 	0.15                              
4                   	4581         	1               	64          	16.19                	                     	                     	8:43 AM                      	                             	                             	14:23                           	                                	                                	0.58                              	                                  	0.10                     	                         	0.00                      	                          	0.30                      	                          	0.40                       	                           	22.9                        	                            	                         	1.6                          	                          	                             	                          	                           	0.4                              	                            	                                 	                             	                                 	0.40                              
