Número do grupo        	Número do animal	Número de lactação	Dias em Lactação	Produção hoje na sessão 1	Produção hoje na sessão 2	Produção hoje na sessão 3	Horário de Ordenha Hoje para Sessão 1	Horário de Ordenha Hoje para Sessão 2	Horário de Ordenha Hoje para Sessão 3	Duração de hoje para a sessão 1 (mm:ss)	Duração de hoje para a sessão 2 (mm:ss)	Duração de hoje para a sessão 3 (mm:ss)	Produção primeiros 2 minutos Sessão 1 hoje	Produção primeiros 2 minutos Sessão 2 hoje	Fluxo 0-15 da sessão 1 hoje	Fluxo 0-15 da sessão 2 hoje	Fluxo 15-30 da sessão 1 hoje	Fluxo 15-30 da sessão 2 hoje	Fluxo 30-60 da sessão 1 hoje	Fluxo 30-60 da sessão 2 hoje	Fluxo 60-120 da sessão 1 hoje	Fluxo 60-120 da sessão 2 hoje	Média do fluxo de hoje para a sessão 1	Média do fluxo de hoje para a sessão 2	Fluxo 0-15 da sessão 3 hoje	Pico do Fluxo de Hoje para a Sessão 1	Fluxo 15-30 da sessão 3 hoje	Pico do Fluxo de Hoje para a Sessão 2	Fluxo 30-60 da sessão 3 hoje	Fluxo 60-120 da sessão 3 hoje	Fluxo na Remoção de Hoje para a Sessão 1	Média do fluxo de hoje para a sessão 3	Fluxo na Remoção de Hoje para a Sessão 2	Pico do Fluxo de Hoje para a Sessão 3	Fluxo na Remoção de Hoje para a Sessão 3	Produção primeiros 2 minutos Sessão 3 hoje
1                      	4588            	0                 	                	                         	                         	                         	                                     	                                     	                                     	                                       	                                       	                                       	                                          	                                          	                           	                           	                            	                            	                            	                            	                             	                             	                                      	                                      	                           	                                     	                            	                                     	                            	                             	                                        	                                      	                                        	                                     	                                        	                                          
1                      	4549            	0                 	                	                         	                         	                         	                                     	                                     	                                     	                                       	                                       	                                       	                                          	                                          	                           	                           	                            	                            	                            	                            	                             	                             	                                      	                                      	                           	                                     	                            	                                     	                            	                             	                                        	                                      	                                        	                                     	                                        	                                          
2                      	4585            	1                 	82              	12,23                    	6,64                     	                         	08:14                                	15:40                                	                                     	06:35                                  	04:26                                  	                                       	4,00                                      	3,18                                      	0,10                       	0,10                       	0,90                        	0,20                        	2,30                        	1,40                        	2,60                         	2,40                         	1,8                                   	1,4                                   	                           	2,9                                  	                            	2,7                                  	                            	                             	0,1                                     	                                      	0,1                                     	                                     	                                        	                                          
2                      	4586            	1                 	87              	8,56                     	                         	                         	08:22                                	                                     	                                     	08:36                                  	                                       	                                       	1,23                                      	                                          	0,20                       	                           	0,10                        	                            	0,50                        	                            	0,90                         	                             	0,9                                   	                                      	                           	1,6                                  	                            	                                     	                            	                             	0,1                                     	                                      	                                        	                                     	                                        	                                          
2                      	5402            	1                 	83              	3,98                     	                         	                         	08:32                                	                                     	                                     	07:04                                  	                                       	                                       	2,28                                      	                                          	0,10                       	                           	0,40                        	                            	1,50                        	                            	1,40                         	                             	0,5                                   	                                      	                           	1,7                                  	                            	                                     	                            	                             	0,4                                     	                                      	                                        	                                     	                                        	                                          
2                      	4575            	1                 	80              	14,45                    	7,00                     	                         	08:15                                	15:41                                	                                     	12:53                                  	10:55                                  	                                       	2,10                                      	1,38                                      	0,10                       	0,10                       	0,30                        	0,00                        	1,20                        	0,30                        	1,40                         	1,20                         	1,1                                   	0,6                                   	                           	1,9                                  	                            	1,6                                  	                            	                             	0,2                                     	                                      	0,0                                     	                                     	                                        	                                          
2                      	4577            	1                 	80              	                         	                         	                         	                                     	                                     	                                     	                                       	                                       	                                       	                                          	                                          	                           	                           	                            	                            	                            	                            	                             	                             	                                      	                                      	                           	                                     	                            	                                     	                            	                             	                                        	                                      	                                        	                                     	                                        	                                          
2                      	4545            	1                 	79              	15,04                    	6,34                     	                         	08:22                                	15:48                                	                                     	10:48                                  	10:49                                  	                                       	2,58                                      	0,45                                      	0,00                       	0,00                       	0,50                        	0,00                        	1,50                        	0,30                        	1,70                         	0,30                         	1,3                                   	0,5                                   	                           	2,2                                  	                            	1,6                                  	                            	                             	0,0                                     	                                      	0,1                                     	                                     	                                        	                                          
2                      	4528            	1                 	77              	7,85                     	4,17                     	                         	08:22                                	15:41                                	                                     	08:51                                  	05:33                                  	                                       	1,28                                      	1,25                                      	0,10                       	0,00                       	0,00                        	0,00                        	0,50                        	0,50                        	1,00                         	1,00                         	0,8                                   	0,7                                   	                           	1,4                                  	                            	1,4                                  	                            	                             	0,1                                     	                                      	0,1                                     	                                     	                                        	                                          
2                      	4536            	1                 	83              	11,37                    	7,13                     	                         	08:22                                	15:36                                	                                     	09:34                                  	07:35                                  	                                       	2,30                                      	2,25                                      	0,10                       	0,20                       	0,30                        	0,00                        	1,20                        	1,00                        	1,60                         	1,70                         	1,1                                   	0,9                                   	                           	2,0                                  	                            	1,9                                  	                            	                             	0,1                                     	                                      	0,1                                     	                                     	                                        	                                          
2                      	4537            	1                 	80              	4,45                     	3,38                     	                         	08:15                                	15:36                                	                                     	04:43                                  	07:02                                  	                                       	3,10                                      	2,28                                      	0,20                       	0,00                       	2,80                        	1,10                        	2,90                        	1,80                        	0,90                         	1,10                         	0,9                                   	0,4                                   	                           	4,1                                  	                            	2,6                                  	                            	                             	0,2                                     	                                      	0,2                                     	                                     	                                        	                                          
3                      	5403            	1                 	85              	11,69                    	                         	                         	08:38                                	                                     	                                     	23:57                                  	                                       	                                       	2,48                                      	                                          	0,10                       	                           	0,20                        	                            	1,20                        	                            	1,80                         	                             	0,8                                   	                                      	                           	2,3                                  	                            	                                     	                            	                             	0,9                                     	                                      	                                        	                                     	                                        	                                          
3                      	5409            	1                 	85              	11,42                    	                         	                         	08:38                                	                                     	                                     	09:09                                  	                                       	                                       	1,85                                      	                                          	0,00                       	                           	0,00                        	                            	0,70                        	                            	1,50                         	                             	1,2                                   	                                      	                           	2,0                                  	                            	                                     	                            	                             	0,0                                     	                                      	                                        	                                     	                                        	                                          
3                      	4582            	1                 	84              	10,41                    	5,40                     	                         	08:14                                	15:40                                	                                     	10:52                                  	07:10                                  	                                       	1,45                                      	0,98                                      	0,10                       	0,10                       	0,10                        	0,00                        	0,80                        	0,10                        	1,00                         	0,90                         	0,9                                   	0,7                                   	                           	1,6                                  	                            	1,4                                  	                            	                             	0,1                                     	                                      	0,1                                     	                                     	                                        	                                          
3                      	4557            	1                 	72              	13,12                    	7,84                     	                         	08:37                                	16:23                                	                                     	14:46                                  	15:22                                  	                                       	1,33                                      	1,40                                      	0,20                       	0,10                       	0,10                        	0,10                        	0,70                        	0,70                        	0,90                         	1,00                         	0,8                                   	0,5                                   	                           	1,4                                  	                            	1,4                                  	                            	                             	0,1                                     	                                      	0,0                                     	                                     	                                        	                                          
3                      	4560            	1                 	86              	15,41                    	                         	                         	08:31                                	                                     	                                     	14:35                                  	                                       	                                       	1,65                                      	                                          	0,10                       	                           	0,10                        	                            	0,60                        	                            	1,30                         	                             	1,0                                   	                                      	                           	1,8                                  	                            	                                     	                            	                             	0,1                                     	                                      	                                        	                                     	                                        	                                          
3                      	4551            	1                 	84              	12,21                    	                         	                         	08:32                                	                                     	                                     	09:37                                  	                                       	                                       	2,73                                      	                                          	0,10                       	                           	0,40                        	                            	1,60                        	                            	1,80                         	                             	1,2                                   	                                      	                           	2,1                                  	                            	                                     	                            	                             	0,2                                     	                                      	                                        	                                     	                                        	                                          
3                      	4525            	1                 	84              	10,97                    	                         	                         	09:03                                	                                     	                                     	12:16                                  	                                       	                                       	1,50                                      	                                          	0,00                       	                           	0,40                        	                            	1,60                        	                            	0,60                         	                             	0,8                                   	                                      	                           	2,6                                  	                            	                                     	                            	                             	1,5                                     	                                      	                                        	                                     	                                        	                                          
3                      	4535            	1                 	84              	9,71                     	                         	                         	08:32                                	                                     	                                     	09:59                                  	                                       	                                       	1,63                                      	                                          	0,10                       	                           	0,20                        	                            	0,90                        	                            	1,10                         	                             	0,9                                   	                                      	                           	1,4                                  	                            	                                     	                            	                             	0,1                                     	                                      	                                        	                                     	                                        	                                          
3                      	4066            	1                 	87              	10,48                    	                         	                         	08:37                                	                                     	                                     	20:40                                  	                                       	                                       	1,03                                      	                                          	0,00                       	                           	0,10                        	                            	0,60                        	                            	0,70                         	                             	0,8                                   	                                      	                           	1,3                                  	                            	                                     	                            	                             	0,1                                     	                                      	                                        	                                     	                                        	                                          
4                      	5407            	1                 	88              	15,35                    	6,86                     	                         	09:03                                	16:10                                	                                     	12:37                                  	06:01                                  	                                       	2,08                                      	2,08                                      	0,00                       	0,10                       	0,30                        	0,20                        	1,20                        	1,00                        	1,40                         	1,50                         	1,2                                   	1,1                                   	                           	1,7                                  	                            	1,9                                  	                            	                             	0,1                                     	                                      	0,2                                     	                                     	                                        	                                          
