Group Number        	Animal Number	Lactation Number	Days In Milk	Yield Today Session 1	Yield Today Session 2	Yield Today Session 3	Milk Time Today For Session 1	Milk Time Today For Session 2	Milk Time Today For Session 3	Duration Today Session 1 (mm:ss)	Duration Today Session 2 (mm:ss)	Duration Today Session 3 (mm:ss)	Yield First 2 Min. Session 1 Today	Yield First 2 Min. Session 2 Today	Flow 0-15 Session 1 Today	Flow 0-15 Session 2 Today	Flow 15-30 Session 1 Today	Flow 15-30 Session 2 Today	Flow 30-60 Session 1 Today	Flow 30-60 Session 2 Today	Flow 60-120 Session 1 Today	Flow 60-120 Session 2 Today	Avg flow Today For Session 1	Avg flow Today For Session 2	Flow 0-15 Session 3 Today	Peak Flow Today For Session 1	Flow 15-30 Session 3 Today	Peak Flow Today For Session 2	Flow 30-60 Session 3 Today	Flow 60-120 Session 3 Today	Take Off Flow Today For Session 1	Avg flow Today For Session 3	Take Off Flow Today For Session 2	Peak Flow Today For Session 3	Take Off Flow Today For Session 3	Yield First 2 Min. Session 3 Today
1                   	4584         	0               	            	                     	                     	                     	                             	                             	                             	                                	                                	                                	                                  	                                  	                         	                         	                          	                          	                          	                          	                           	                           	                            	                            	                         	                             	                          	                             	                          	                           	                                 	                            	                                 	                             	                                 	                                  
1                   	4588         	0               	            	                     	                     	                     	                             	                             	                             	                                	                                	                                	                                  	                                  	                         	                         	                          	                          	                          	                          	                           	                           	                            	                            	                         	                             	                          	                             	                          	                           	                                 	                            	                                 	                             	                                 	                                  
1                   	4572         	0               	            	                     	                     	                     	                             	                             	                             	                                	                                	                                	                                  	                                  	                         	                         	                          	                          	                          	                          	                           	                           	                            	                            	                         	                             	                          	                             	                          	                           	                                 	                            	                                 	                             	                                 	                                  
1                   	4549         	0               	            	                     	                     	                     	                             	                             	                             	                                	                                	                                	                                  	                                  	                         	                         	                          	                          	                          	                          	                           	                           	                            	                            	                         	                             	                          	                             	                          	                           	                                 	                            	                                 	                             	                                 	                                  
1                   	4544         	0               	            	                     	                     	                     	                             	                             	                             	                                	                                	                                	                                  	                                  	                         	                         	                          	                          	                          	                          	                           	                           	                            	                            	                         	                             	                          	                             	                          	                           	                                 	                            	                                 	                             	                                 	                                  
2                   	5402         	1               	25          	2.48                 	                     	1.08                 	9:23 AM                      	                             	4:16 PM                      	06:16                           	                                	06:14                           	1.65                              	                                  	0.10                     	                         	0.10                      	                          	1.00                      	                          	1.10                       	                           	0.3                         	                            	0.10                     	1.4                          	0.00                      	                             	0.30                      	0.20                       	0.1                              	0.1                         	                                 	0.5                          	0.2                              	0.38                              
2                   	4585         	1               	24          	14.25                	                     	7.54                 	9:16 AM                      	                             	4:15 PM                      	07:22                           	                                	04:33                           	3.78                              	                                  	0.10                     	                         	0.00                      	                          	1.90                      	                          	2.80                       	                           	1.9                         	                            	0.00                     	3.1                          	0.20                      	                             	2.00                      	3.00                       	0.2                              	1.6                         	                                 	3.4                          	0.2                              	4.05                              
2                   	4586         	1               	29          	7.68                 	                     	5.31                 	9:17 AM                      	                             	4:33 PM                      	08:25                           	                                	05:57                           	1.38                              	                                  	0.10                     	                         	0.00                      	                          	0.70                      	                          	1.00                       	                           	0.9                         	                            	0.00                     	1.7                          	0.10                      	                             	0.90                      	1.20                       	0.1                              	0.8                         	                                 	1.6                          	0.0                              	1.68                              
2                   	4575         	1               	22          	14.27                	                     	6.68                 	9:17 AM                      	                             	4:36 PM                      	11:19                           	                                	06:59                           	1.75                              	                                  	0.00                     	                         	0.20                      	                          	0.80                      	                          	1.30                       	                           	1.2                         	                            	0.10                     	1.9                          	0.10                      	                             	1.00                      	1.40                       	0.4                              	0.9                         	                                 	1.7                          	0.0                              	1.95                              
2                   	4577         	1               	22          	1.97                 	                     	1.52                 	9:35 AM                      	                             	4:33 PM                      	08:03                           	                                	09:00                           	0.55                              	                                  	0.20                     	                         	0.00                      	                          	0.20                      	                          	0.40                       	                           	0.2                         	                            	0.10                     	0.7                          	0.00                      	                             	0.40                      	0.40                       	0.4                              	0.1                         	                                 	0.6                          	0.1                              	0.63                              
2                   	4545         	1               	21          	12.77                	5.13                 	3.65                 	9:17 AM                      	1:10 PM                      	4:33 PM                      	10:34                           	05:52                           	05:46                           	2.10                              	7.65                              	0.00                     	6.60                     	0.40                      	7.60                      	1.20                      	6.40                      	1.40                       	0.90                       	1.2                         	0.8                         	0.10                     	2.0                          	0.00                      	7.6                          	0.00                      	0.60                       	0.0                              	0.6                         	0.1                              	1.3                          	0.1                              	0.63                              
2                   	4537         	1               	22          	8.68                 	                     	5.53                 	9:21 AM                      	                             	4:15 PM                      	06:55                           	                                	06:00                           	5.15                              	                                  	0.30                     	                         	2.70                      	                          	3.40                      	                          	2.70                       	                           	1.2                         	                            	0.10                     	3.8                          	1.10                      	                             	2.20                      	1.40                       	0.2                              	0.9                         	                                 	2.8                          	0.1                              	2.80                              
2                   	4528         	1               	19          	4.38                 	1.81                 	2.16                 	9:37 AM                      	1:11 PM                      	4:45 PM                      	05:58                           	02:24                           	02:44                           	1.25                              	3.53                              	0.00                     	6.60                     	0.00                      	1.30                      	0.70                      	1.30                      	0.90                       	0.90                       	0.7                         	0.7                         	0.10                     	1.3                          	0.30                      	7.6                          	1.10                      	1.40                       	0.0                              	0.7                         	0.1                              	1.6                          	0.1                              	2.05                              
2                   	4536         	1               	25          	12.92                	                     	7.27                 	9:33 AM                      	                             	4:32 PM                      	08:42                           	                                	06:07                           	3.02                              	                                  	0.00                     	                         	0.30                      	                          	1.70                      	                          	2.09                       	                           	1.4                         	                            	0.10                     	2.3                          	0.00                      	                             	1.30                      	2.00                       	0.1                              	1.1                         	                                 	2.3                          	0.1                              	2.68                              
3                   	5403         	1               	27          	14.46                	                     	7.79                 	8:45 AM                      	                             	4:02 PM                      	08:56                           	                                	05:40                           	3.33                              	                                  	0.00                     	                         	0.70                      	                          	1.90                      	                          	2.20                       	                           	1.6                         	                            	0.20                     	2.7                          	1.20                      	                             	1.80                      	2.00                       	0.1                              	1.3                         	                                 	2.4                          	0.1                              	3.25                              
3                   	5409         	1               	27          	13.01                	                     	6.76                 	8:56 AM                      	                             	3:55 PM                      	07:47                           	                                	06:18                           	2.88                              	                                  	0.20                     	                         	0.70                      	                          	1.50                      	                          	1.90                       	                           	1.6                         	                            	0.10                     	2.6                          	0.00                      	                             	0.00                      	0.00                       	0.1                              	1.0                         	                                 	2.3                          	0.0                              	0.03                              
3                   	4582         	1               	26          	14.84                	                     	8.45                 	9:22 AM                      	                             	4:35 PM                      	10:01                           	                                	09:58                           	1.68                              	                                  	0.00                     	                         	0.10                      	                          	0.90                      	                          	1.20                       	                           	1.4                         	                            	0.20                     	2.2                          	0.00                      	                             	0.00                      	0.00                       	2.2                              	0.8                         	                                 	1.8                          	0.1                              	0.05                              
3                   	4557         	1               	14          	14.45                	6.31                 	2.60                 	8:55 AM                      	1:10 PM                      	3:57 PM                      	10:38                           	06:10                           	07:15                           	1.80                              	2.58                              	0.10                     	0.00                     	0.10                      	0.30                      	0.70                      	1.40                      	1.40                       	1.80                       	1.3                         	1.0                         	0.00                     	2.6                          	0.00                      	2.0                          	0.50                      	1.20                       	0.1                              	0.3                         	0.1                              	1.4                          	0.0                              	1.45                              
3                   	4560         	1               	28          	18.04                	                     	8.77                 	9:21 AM                      	                             	4:15 PM                      	13:57                           	                                	08:29                           	2.25                              	                                  	0.30                     	                         	0.70                      	                          	1.20                      	                          	1.40                       	                           	1.2                         	                            	0.00                     	1.9                          	0.00                      	                             	0.50                      	1.30                       	0.1                              	1.0                         	                                 	1.7                          	0.1                              	1.55                              
3                   	4551         	1               	26          	14.38                	                     	8.11                 	8:56 AM                      	                             	3:57 PM                      	10:43                           	                                	06:48                           	2.28                              	                                  	0.10                     	                         	0.20                      	                          	1.20                      	                          	1.60                       	                           	1.3                         	                            	0.10                     	2.0                          	0.20                      	                             	1.00                      	1.50                       	0.2                              	1.1                         	                                 	1.9                          	0.1                              	2.08                              
3                   	4525         	1               	26          	10.66                	                     	6.37                 	8:56 AM                      	                             	4:04 PM                      	12:26                           	                                	06:31                           	0.05                              	                                  	0.00                     	                         	0.20                      	                          	0.00                      	                          	0.00                       	                           	0.8                         	                            	0.00                     	1.8                          	0.10                      	                             	1.20                      	1.50                       	0.1                              	0.9                         	                                 	1.7                          	0.2                              	2.13                              
3                   	4535         	1               	26          	8.29                 	                     	1.95                 	8:46 AM                      	                             	3:55 PM                      	08:39                           	                                	03:26                           	1.60                              	                                  	0.00                     	                         	0.00                      	                          	0.60                      	                          	1.30                       	                           	0.9                         	                            	0.10                     	1.6                          	0.10                      	                             	0.70                      	0.90                       	0.0                              	0.5                         	                                 	1.2                          	0.2                              	1.30                              
3                   	4066         	1               	29          	9.02                 	                     	6.99                 	8:46 AM                      	                             	4:05 PM                      	14:32                           	                                	12:08                           	0.68                              	                                  	0.10                     	                         	0.00                      	                          	0.30                      	                          	0.50                       	                           	0.6                         	                            	0.00                     	1.4                          	0.00                      	                             	0.20                      	0.50                       	0.0                              	0.5                         	                                 	1.3                          	0.0                              	0.60                              
4                   	5407         	1               	30          	10.26                	                     	6.84                 	8:22 AM                      	                             	3:37 PM                      	10:00                           	                                	07:32                           	1.33                              	                                  	0.00                     	                         	0.10                      	                          	0.60                      	                          	1.00                       	                           	1.0                         	                            	0.00                     	1.5                          	0.10                      	                             	0.80                      	1.00                       	0.1                              	0.9                         	                                 	1.4                          	0.1                              	1.43                              
