Group Number        	Animal Number	Lactation Number	Days In Milk	Yield Today Session 1	Yield Today Session 2	Yield Today Session 3	Milk Time Today For Session 1	Milk Time Today For Session 2	Milk Time Today For Session 3	Duration Today Session 1 (mm:ss)	Duration Today Session 2 (mm:ss)	Duration Today Session 3 (mm:ss)	Yield First 2 Min. Session 1 Today	Yield First 2 Min. Session 2 Today	Flow 0-15 Session 1 Today	Flow 0-15 Session 2 Today	Flow 15-30 Session 1 Today	Flow 15-30 Session 2 Today	Flow 30-60 Session 1 Today	Flow 30-60 Session 2 Today	Flow 60-120 Session 1 Today	Flow 60-120 Session 2 Today	Avg flow Today For Session 1	Avg flow Today For Session 2	Flow 0-15 Session 3 Today	Peak Flow Today For Session 1	Flow 15-30 Session 3 Today	Peak Flow Today For Session 2	Flow 30-60 Session 3 Today	Flow 60-120 Session 3 Today	Take Off Flow Today For Session 1	Avg flow Today For Session 3	Take Off Flow Today For Session 2	Peak Flow Today For Session 3	Take Off Flow Today For Session 3	Yield First 2 Min. Session 3 Today
1                   	5408         	0               	            	                     	3.33                 	3.33                 	                             	2:03 PM                      	4:53 PM                      	                                	09:30                           	08:23                           	                                  	0.30                              	                         	0.00                     	                          	0.00                      	                          	0.60                      	                           	0.00                       	                            	0.3                         	0.10                     	                             	0.00                      	1.7                          	0.00                      	0.00                       	                                 	0.3                         	0.4                              	1.1                          	0.0                              	0.03                              
1                   	4584         	0               	            	                     	                     	                     	                             	                             	                             	                                	                                	                                	                                  	                                  	                         	                         	                          	                          	                          	                          	                           	                           	                            	                            	                         	                             	                          	                             	                          	                           	                                 	                            	                                 	                             	                                 	                                  
1                   	4588         	0               	            	                     	                     	                     	                             	                             	                             	                                	                                	                                	                                  	                                  	                         	                         	                          	                          	                          	                          	                           	                           	                            	                            	                         	                             	                          	                             	                          	                           	                                 	                            	                                 	                             	                                 	                                  
1                   	4554         	0               	            	                     	                     	                     	                             	                             	                             	                                	                                	                                	                                  	                                  	                         	                         	                          	                          	                          	                          	                           	                           	                            	                            	                         	                             	                          	                             	                          	                           	                                 	                            	                                 	                             	                                 	                                  
1                   	4557         	0               	            	                     	                     	                     	                             	                             	                             	                                	                                	                                	                                  	                                  	                         	                         	                          	                          	                          	                          	                           	                           	                            	                            	                         	                             	                          	                             	                          	                           	                                 	                            	                                 	                             	                                 	                                  
1                   	4572         	0               	            	                     	                     	                     	                             	                             	                             	                                	                                	                                	                                  	                                  	                         	                         	                          	                          	                          	                          	                           	                           	                            	                            	                         	                             	                          	                             	                          	                           	                                 	                            	                                 	                             	                                 	                                  
1                   	4549         	0               	            	                     	                     	                     	                             	                             	                             	                                	                                	                                	                                  	                                  	                         	                         	                          	                          	                          	                          	                           	                           	                            	                            	                         	                             	                          	                             	                          	                           	                                 	                            	                                 	                             	                                 	                                  
1                   	4544         	0               	            	                     	                     	                     	                             	                             	                             	                                	                                	                                	                                  	                                  	                         	                         	                          	                          	                          	                          	                           	                           	                            	                            	                         	                             	                          	                             	                          	                           	                                 	                            	                                 	                             	                                 	                                  
2                   	5402         	1               	7           	1.98                 	2.83                 	1.12                 	8:47 AM                      	1:37 PM                      	3:59 PM                      	07:37                           	14:40                           	07:52                           	0.03                              	0.03                              	0.10                     	0.10                     	0.00                      	0.00                      	0.00                      	0.00                      	0.00                       	0.00                       	0.2                         	0.1                         	0.20                     	1.8                          	0.00                      	2.2                          	0.70                      	0.40                       	0.0                              	0.1                         	0.0                              	1.1                          	0.1                              	0.80                              
2                   	4585         	1               	6           	12.17                	3.29                 	2.17                 	9:38 AM                      	1:37 PM                      	4:45 PM                      	11:01                           	13:23                           	05:02                           	4.48                              	2.80                              	0.00                     	0.10                     	0.70                      	0.90                      	2.60                      	2.90                      	3.00                       	1.10                       	1.1                         	0.2                         	0.10                     	3.3                          	0.00                      	3.2                          	0.00                      	0.70                       	0.1                              	0.4                         	0.0                              	1.9                          	0.0                              	0.73                              
