Número do grupo        	Número do animal	Número de lactação	Dias em Lactação	Produção hoje na sessão 1	Produção hoje na sessão 2	Produção hoje na sessão 3	Horário de Ordenha Hoje para Sessão 1	Horário de Ordenha Hoje para Sessão 2	Horário de Ordenha Hoje para Sessão 3	Duração de hoje para a sessão 1 (mm:ss)	Duração de hoje para a sessão 2 (mm:ss)	Duração de hoje para a sessão 3 (mm:ss)	Produção primeiros 2 minutos Sessão 1 hoje	Produção primeiros 2 minutos Sessão 2 hoje	Fluxo 0-15 da sessão 1 hoje	Fluxo 0-15 da sessão 2 hoje	Fluxo 15-30 da sessão 1 hoje	Fluxo 15-30 da sessão 2 hoje	Fluxo 30-60 da sessão 1 hoje	Fluxo 30-60 da sessão 2 hoje	Fluxo 60-120 da sessão 1 hoje	Fluxo 60-120 da sessão 2 hoje	Média do fluxo de hoje para a sessão 1	Média do fluxo de hoje para a sessão 2	Fluxo 0-15 da sessão 3 hoje	Pico do Fluxo de Hoje para a Sessão 1	Fluxo 15-30 da sessão 3 hoje	Pico do Fluxo de Hoje para a Sessão 2	Fluxo 30-60 da sessão 3 hoje	Fluxo 60-120 da sessão 3 hoje	Fluxo na Remoção de Hoje para a Sessão 1	Média do fluxo de hoje para a sessão 3	Fluxo na Remoção de Hoje para a Sessão 2	Pico do Fluxo de Hoje para a Sessão 3	Fluxo na Remoção de Hoje para a Sessão 3	Produção primeiros 2 minutos Sessão 3 hoje
1                      	653             	2                 	144             	13,74                    	9,62                     	                         	08:17                                	17:03                                	                                     	07:13                                  	05:15                                  	                                       	4,88                                      	5,45                                      	0,10                       	0,10                       	2,00                        	0,90                        	2,90                        	3,20                        	2,90                         	3,60                         	1,9                                   	1,8                                   	                           	3,4                                  	                            	3,8                                  	                            	                             	0,1                                     	                                      	0,1                                     	                                     	                                        	                                          
1                      	2623            	1                 	110             	15,19                    	                         	                         	08:11                                	                                     	                                     	07:40                                  	                                       	                                       	3,68                                      	                                          	0,00                       	                           	0,50                        	                            	1,90                        	                            	2,60                         	                             	1,9                                   	                                      	                           	3,2                                  	                            	                                     	                            	                             	0,1                                     	                                      	                                        	                                     	                                        	                                          
1                      	2624            	2                 	128             	14,97                    	8,94                     	                         	08:18                                	15:45                                	                                     	15:51                                  	09:30                                  	                                       	1,53                                      	1,40                                      	0,10                       	0,00                       	0,00                        	0,00                        	0,80                        	0,60                        	1,10                         	1,10                         	0,9                                   	0,9                                   	                           	1,7                                  	                            	1,6                                  	                            	                             	0,4                                     	                                      	0,1                                     	                                     	                                        	                                          
1                      	2662            	2                 	157             	9,30                     	                         	                         	07:49                                	                                     	                                     	06:47                                  	                                       	                                       	2,89                                      	2,88                                      	0,00                       	                           	0,00                        	                            	1,60                        	                            	2,09                         	                             	1,3                                   	                                      	                           	2,4                                  	                            	                                     	                            	                             	0,0                                     	                                      	                                        	                                     	                                        	                                          
1                      	3652            	2                 	109             	13,94                    	7,62                     	                         	08:11                                	15:44                                	                                     	06:29                                  	04:50                                  	                                       	4,48                                      	2,98                                      	0,20                       	0,50                       	1,10                        	0,00                        	2,70                        	0,90                        	2,80                         	2,40                         	2,2                                   	1,5                                   	                           	2,8                                  	                            	7,6                                  	                            	                             	0,1                                     	                                      	0,1                                     	                                     	                                        	                                          
1                      	4588            	0                 	                	                         	                         	                         	                                     	                                     	                                     	                                       	                                       	                                       	                                          	                                          	                           	                           	                            	                            	                            	                            	                             	                             	                                      	                                      	                           	                                     	                            	                                     	                            	                             	                                        	                                      	                                        	                                     	                                        	                                          
1                      	4549            	0                 	                	                         	                         	                         	                                     	                                     	                                     	                                       	                                       	                                       	                                          	                                          	                           	                           	                            	                            	                            	                            	                             	                             	                                      	                                      	                           	                                     	                            	                                     	                            	                             	                                        	                                      	                                        	                                     	                                        	                                          
1                      	4498            	1                 	104             	12,47                    	9,13                     	                         	07:54                                	17:04                                	                                     	18:15                                  	13:48                                  	                                       	0,80                                      	0,80                                      	0,00                       	0,00                       	0,00                        	0,00                        	0,40                        	0,40                        	0,60                         	0,60                         	0,6                                   	0,6                                   	                           	1,6                                  	                            	1,3                                  	                            	                             	0,7                                     	                                      	0,1                                     	                                     	                                        	                                          
1                      	4448            	1                 	169             	13,19                    	6,91                     	                         	07:56                                	15:44                                	                                     	11:22                                  	07:25                                  	                                       	1,98                                      	3,85                                      	0,00                       	6,60                       	0,30                        	2,00                        	1,00                        	1,00                        	1,40                         	1,20                         	1,1                                   	0,9                                   	                           	1,8                                  	                            	7,6                                  	                            	                             	0,1                                     	                                      	0,2                                     	                                     	                                        	                                          
1                      	4412            	2                 	107             	10,10                    	6,12                     	                         	07:56                                	15:44                                	                                     	06:20                                  	04:30                                  	                                       	3,22                                      	5,10                                      	0,00                       	6,20                       	0,90                        	0,80                        	1,80                        	1,90                        	2,09                         	2,40                         	1,5                                   	1,3                                   	                           	2,6                                  	                            	7,6                                  	                            	                             	0,1                                     	                                      	0,0                                     	                                     	                                        	                                          
