,Grupo,Id_Animal,Num_Lac,Dias_Lac,Pico,Hora_S1,Hora_S2,Hora_S3,Durac_S1,Durac_S2,Durac_S3,Prod_S1,Prod_S2,Prod_S3,Hora_S1_ont,Hora_S2_ont,Hora_S3_ont,Dura_S1_ont,Dura_S2_ont,Dura_S3_ont,Prod_S1_ont,Prod_S2_ont,Prod_S3_ont,Data
0,,4426.0,2.0,91.0,,,,,,,,,,,,,,,,,,,,03/09/2017
1,,2646.0,1.0,493.0,11.24,,,,,,,,,,,,,,,,,,,03/09/2017
2,1,3652.0,2.0,93.0,,2017-09-03 08:00:00,2017-09-03 15:30:00,,1901-01-05 00:00:00,1900-10-08 00:00:00,,12.58,5.96,,2017-09-02 08:00:00,2017-09-02 15:30:00,,1901-01-30 00:00:00,1900-08-23 00:00:00,,12.49,6.63,,03/09/2017
3,1,653.0,2.0,128.0,,2017-09-03 08:00:00,2017-09-03 15:30:00,,1901-08-02 00:00:00,1901-01-14 00:00:00,,18.19,8.54,,2017-09-02 08:00:00,2017-09-02 15:30:00,,1901-03-10 00:00:00,1900-12-27 00:00:00,,16.06,8.86,,03/09/2017
4,1,2623.0,1.0,94.0,,2017-09-03 08:00:00,2017-09-03 15:30:00,,1901-01-16 00:00:00,1900-11-24 00:00:00,,12.94,7.95,,2017-09-02 08:00:00,2017-09-02 15:30:00,,1901-01-26 00:00:00,1900-11-23 00:00:00,,12.49,8.2,,03/09/2017
5,1,2624.0,2.0,112.0,,2017-09-03 08:30:00,2017-09-03 15:30:00,,1902-03-10 00:00:00,1901-08-07 00:00:00,,13.22,9.87,,2017-09-02 08:00:00,2017-09-02 16:00:00,,1901-12-25 00:00:00,1901-08-26 00:00:00,,13.39,10.95,,03/09/2017
6,1,2662.0,2.0,141.0,,2017-09-03 09:30:00,2017-09-03 17:00:00,,1901-06-01 00:00:00,1900-12-10 00:00:00,,0.49,6.81,,2017-09-02 09:30:00,2017-09-02 17:00:00,,1901-04-28 00:00:00,1901-03-14 00:00:00,,13.12,6.98,,03/09/2017
7,1,4588.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,03/09/2017
8,1,4549.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,03/09/2017
9,1,4498.0,1.0,88.0,,2017-09-03 08:00:00,2017-09-03 15:30:00,,1903-06-11 00:00:00,1902-06-01 00:00:00,,15.09,8.74,,2017-09-02 07:30:00,2017-09-02 15:30:00,,1903-03-27 00:00:00,1902-02-15 00:00:00,,14.07,8.67,,03/09/2017
10,1,4448.0,1.0,153.0,,2017-09-03 08:00:00,2017-09-03 15:30:00,,1901-12-08 00:00:00,1901-02-21 00:00:00,,13.42,6.39,,2017-09-02 07:30:00,2017-09-02 15:30:00,,1901-07-24 00:00:00,1901-02-04 00:00:00,,12.8,6.85,,03/09/2017
11,1,4412.0,2.0,91.0,,2017-09-03 08:00:00,2017-09-03 15:30:00,,1901-01-13 00:00:00,1900-08-12 00:00:00,,9.72,4.98,,2017-09-02 07:30:00,2017-09-02 15:30:00,,1900-12-13 00:00:00,1900-09-19 00:00:00,,10.07,5.0,,03/09/2017
12,1,4421.0,1.0,120.0,,2017-09-03 09:30:00,2017-09-03 17:00:00,,1901-03-15 00:00:00,1900-09-03 00:00:00,,7.97,4.27,,2017-09-02 09:30:00,2017-09-02 17:00:00,,1901-02-18 00:00:00,1900-09-14 00:00:00,,7.97,4.02,,03/09/2017
13,1,4021.0,2.0,98.0,,2017-09-03 08:30:00,2017-09-03 15:30:00,,1901-03-30 00:00:00,1900-10-06 00:00:00,,13.43,5.4,,2017-09-02 08:00:00,2017-09-02 15:30:00,,1901-04-08 00:00:00,1900-09-24 00:00:00,,12.75,5.31,,03/09/2017
14,1,3579.0,1.0,83.0,,2017-09-03 08:00:00,2017-09-03 15:30:00,,1901-08-20 00:00:00,1901-03-08 00:00:00,,12.71,7.34,,2017-09-02 07:30:00,2017-09-02 15:30:00,,1901-06-01 00:00:00,1901-02-01 00:00:00,,12.45,7.28,,03/09/2017
15,1,3527.0,1.0,102.0,,,,,,,,,,,,,,,,,,,,03/09/2017
16,1,3500.0,2.0,99.0,,2017-09-03 08:00:00,2017-09-03 15:30:00,,1900-12-14 00:00:00,1900-09-03 00:00:00,,13.16,6.21,,2017-09-02 08:00:00,2017-09-02 15:30:00,,1900-12-14 00:00:00,1900-08-23 00:00:00,,13.15,6.73,,03/09/2017
17,1,3475.0,1.0,110.0,,2017-09-03 08:00:00,2017-09-03 15:30:00,,1901-07-24 00:00:00,1900-11-27 00:00:00,,14.33,6.99,,2017-09-02 08:00:00,2017-09-02 15:30:00,,1901-08-22 00:00:00,1900-11-01 00:00:00,,14.72,6.95,,03/09/2017
18,1,3424.0,1.0,107.0,,2017-09-03 08:30:00,2017-09-03 15:30:00,,1901-12-25 00:00:00,1901-11-02 00:00:00,,7.79,7.3,,2017-09-02 08:00:00,2017-09-02 16:00:00,,1902-05-04 00:00:00,1901-04-21 00:00:00,,10.68,4.91,,03/09/2017
19,1,2581.0,1.0,135.0,,2017-09-03 09:30:00,2017-09-03 17:00:00,,1901-06-06 00:00:00,1900-10-27 00:00:00,,17.93,7.33,,2017-09-02 09:30:00,2017-09-02 17:00:00,,1901-06-08 00:00:00,1900-12-19 00:00:00,,17.93,8.02,,03/09/2017
20,1,2567.0,1.0,100.0,,2017-09-03 08:00:00,2017-09-03 15:30:00,,1901-03-24 00:00:00,1900-09-22 00:00:00,,15.78,7.42,,2017-09-02 07:30:00,2017-09-02 15:30:00,,1901-04-08 00:00:00,1900-09-09 00:00:00,,15.75,7.85,,03/09/2017
21,1,2468.0,2.0,121.0,,2017-09-03 08:00:00,2017-09-03 15:30:00,,1901-02-08 00:00:00,1900-10-06 00:00:00,,12.47,5.89,,2017-09-02 08:00:00,2017-09-02 15:30:00,,1901-03-24 00:00:00,1900-07-15 00:00:00,,12.78,5.33,,03/09/2017
22,1,2406.0,2.0,96.0,,2017-09-03 08:00:00,2017-09-03 15:30:00,,1901-08-09 00:00:00,1901-02-22 00:00:00,,11.85,5.41,,2017-09-02 08:00:00,2017-09-02 16:00:00,,1901-06-13 00:00:00,1900-11-27 00:00:00,,10.56,5.42,,03/09/2017
23,2,5402.0,1.0,117.0,8.565,,,,,,,,,,,,,,,,,,,03/09/2017
24,2,4585.0,1.0,116.0,23.704,2017-09-03 08:30:00,2017-09-03 16:00:00,,1901-02-20 00:00:00,1900-09-22 00:00:00,,9.57,6.21,,2017-09-02 08:30:00,2017-09-02 16:00:00,,1901-01-27 00:00:00,1900-10-28 00:00:00,,9.57,6.18,,03/09/2017
25,2,4586.0,1.0,121.0,12.32,2017-09-03 08:30:00,2017-09-03 16:00:00,,1901-08-27 00:00:00,1901-05-19 00:00:00,,7.64,5.4,,2017-09-02 08:30:00,2017-09-02 16:00:00,,1901-09-10 00:00:00,1900-12-30 00:00:00,,7.63,4.72,,03/09/2017
26,2,4575.0,1.0,114.0,22.07667,,2017-09-03 16:00:00,,,1901-02-15 00:00:00,,,6.22,,2017-09-02 08:30:00,2017-09-02 16:00:00,,1901-12-12 00:00:00,1901-04-03 00:00:00,,12.64,7.24,,03/09/2017
27,2,4577.0,1.0,114.0,9.549999,,,,,,,,,,,,,,,,,,,03/09/2017
28,2,4545.0,1.0,113.0,23.7625,2017-09-03 08:30:00,2017-09-03 16:00:00,,1901-07-09 00:00:00,1901-04-06 00:00:00,,12.51,6.17,,2017-09-02 08:30:00,2017-09-02 16:00:00,,1901-10-27 00:00:00,1901-03-22 00:00:00,,12.51,6.57,,03/09/2017
29,2,4537.0,1.0,114.0,15.822,2017-09-03 08:30:00,2017-09-03 16:00:00,,1900-11-03 00:00:00,1900-08-12 00:00:00,,4.77,2.75,,2017-09-02 08:30:00,2017-09-02 16:00:00,,1901-02-17 00:00:00,1900-10-13 00:00:00,,3.44,3.41,,03/09/2017
