Column1;Id_Animal;Hora_S1;Hora_S2;Hora_S3;Prod_S1;Prod_S2;Prod_S3;Data
0;6530;08:00:00;15:30:00;                                     ;1584;788;                         ;01/09/2017
1;26230;08:00:00;15:30:00;                                     ;1381;766;                         ;01/09/2017
2;26240;08:00:00;15:30:00;                                     ;1263;1054;                         ;01/09/2017
3;26620;09:30:00;;                                     ;1364;;                         ;01/09/2017
4;36520;08:00:00;15:30:00;                                     ;1273;680;                         ;01/09/2017
5;45880;;;                                     ;;;                         ;01/09/2017
6;45490;;;                                     ;;;                         ;01/09/2017
7;44980;08:00:00;15:30:00;                                     ;1482;633;                         ;01/09/2017
8;44480;08:00:00;15:30:00;                                     ;1308;676;                         ;01/09/2017
9;44120;08:00:00;15:30:00;                                     ;1035;512;                         ;01/09/2017
10;44210;09:30:00;;                                     ;847;;                         ;01/09/2017
11;40210;08:00:00;15:30:00;                                     ;1301;535;                         ;01/09/2017
12;35790;08:00:00;15:30:00;                                     ;1225;714;                         ;01/09/2017
13;35270;;;                                     ;;;                         ;01/09/2017
14;35000;08:00:00;15:30:00;                                     ;1390;635;                         ;01/09/2017
15;34750;08:00:00;15:30:00;                                     ;1385;685;                         ;01/09/2017
16;34240;08:00:00;15:30:00;                                     ;646;560;                         ;01/09/2017
17;25810;09:30:00;;                                     ;1857;;                         ;01/09/2017
18;25670;08:00:00;15:30:00;                                     ;1702;846;                         ;01/09/2017
19;24680;08:00:00;15:30:00;                                     ;1218;571;                         ;01/09/2017
20;24060;08:00:00;15:30:00;                                     ;1048;501;                         ;01/09/2017
21;45860;08:30:00;16:00:00;                                     ;831;427;                         ;01/09/2017
22;54020;;;                                     ;;;                         ;01/09/2017
23;45770;;;                                     ;;;                         ;01/09/2017
24;45850;08:30:00;16:00:00;                                     ;1206;597;                         ;01/09/2017
25;45750;08:30:00;16:00:00;                                     ;1299;655;                         ;01/09/2017
26;45450;08:30:00;16:00:00;                                     ;1250;602;                         ;01/09/2017
27;45280;08:30:00;16:00:00;                                     ;698;434;                         ;01/09/2017
28;45360;08:30:00;16:00:00;                                     ;961;607;                         ;01/09/2017
29;45370;08:30:00;16:00:00;                                     ;440;229;                         ;01/09/2017
30;54090;08:30:00;16:00:00;                                     ;1072;617;                         ;01/09/2017
31;54030;08:30:00;16:00:00;                                     ;900;760;                         ;01/09/2017
32;45820;08:30:00;16:00:00;                                     ;641;422;                         ;01/09/2017
33;45600;08:30:00;16:00:00;                                     ;1450;893;                         ;01/09/2017
34;45510;08:30:00;16:00:00;                                     ;1383;718;                         ;01/09/2017
35;45570;08:30:00;16:00:00;                                     ;1223;841;                         ;01/09/2017
36;45350;08:30:00;16:00:00;                                     ;859;476;                         ;01/09/2017
37;45250;08:30:00;16:00:00;                                     ;805;324;                         ;01/09/2017
38;40660;08:30:00;16:00:00;                                     ;240;1056;                         ;01/09/2017
39;54070;09:00:00;16:30:00;                                     ;1413;721;                         ;01/09/2017
40;45870;;;                                     ;;;                         ;01/09/2017
41;45810;09:30:00;16:30:00;                                     ;1074;822;                         ;01/09/2017
42;45830;09:00:00;16:30:00;                                     ;952;528;                         ;01/09/2017
43;45730;;;                                     ;;;                         ;01/09/2017
44;45480;09:00:00;16:30:00;                                     ;1539;936;                         ;01/09/2017
45;45500;09:00:00;16:30:00;                                     ;1150;484;                         ;01/09/2017
46;45460;09:00:00;16:30:00;                                     ;1064;893;                         ;01/09/2017
47;40650;09:00:00;16:30:00;                                     ;725;415;                         ;01/09/2017
48;54080;;16:30:00;                                     ;;556;                         ;01/09/2017
49;45840;09:00:00;16:30:00;                                     ;1213;594;                         ;01/09/2017
50;45720;09:00:00;16:30:00;                                     ;890;484;                         ;01/09/2017
51;45540;;;                                     ;;;                         ;01/09/2017
52;45440;09:00:00;16:30:00;                                     ;681;726;                         ;01/09/2017
53;26480;;;                                     ;;;                         ;01/09/2017
54;44260;;;                                     ;;;                         ;01/09/2017
55;44750;;;                                     ;;;                         ;01/09/2017
56;44770;;;                                     ;;;                         ;01/09/2017
57;44650;;;                                     ;;;                         ;01/09/2017
58;35300;;;                                     ;;;                         ;01/09/2017
59;34580;;;                                     ;;;                         ;01/09/2017
60;34370;;;                                     ;;;                         ;01/09/2017
61;25600;;;                                     ;;;                         ;01/09/2017
62;24160;;;                                     ;;;                         ;01/09/2017
63;27100;;;                                     ;;;                         ;01/09/2017
64;36000;;;                                     ;;;                         ;01/09/2017
65;36440;;;                                     ;;;                         ;01/09/2017
66;37850;;;                                     ;;;                         ;01/09/2017
67;44530;;;                                     ;;;                         ;01/09/2017
68;35380;;;                                     ;;;                         ;01/09/2017
69;34600;;;                                     ;;;                         ;01/09/2017
70;24830;;;                                     ;;;                         ;01/09/2017
71;24310;;;                                     ;;;                         ;01/09/2017
0;6530;08:00:00;15:30:00;                                     ;1819;854;                         ;03/09/2017
1;26230;08:00:00;15:30:00;                                     ;1294;795;                         ;03/09/2017
2;26240;08:30:00;15:30:00;                                     ;1322;987;                         ;03/09/2017
3;26620;09:30:00;17:00:00;                                     ;49;681;                         ;03/09/2017
4;36520;08:00:00;15:30:00;                                     ;1258;596;                         ;03/09/2017
5;45880;;;                                     ;;;                         ;03/09/2017
6;45490;;;                                     ;;;                         ;03/09/2017
7;44980;08:00:00;15:30:00;                                     ;1509;874;                         ;03/09/2017
8;44480;08:00:00;15:30:00;                                     ;1342;639;                         ;03/09/2017
9;44120;08:00:00;15:30:00;                                     ;972;498;                         ;03/09/2017
10;44210;09:30:00;17:00:00;                                     ;797;427;                         ;03/09/2017
11;40210;08:30:00;15:30:00;                                     ;1343;540;                         ;03/09/2017
12;35790;08:00:00;15:30:00;                                     ;1271;734;                         ;03/09/2017
