,Id_Animal,Hora_S1,Hora_S2,Hora_S3,Prod_S1,Prod_S2,Prod_S3,Data
0,653.0,07:47                                ,15:26                                ,                                     ,15.84                    ,7.88                     ,                         ,01/09/2017
1,2623.0,08:09                                ,15:43                                ,                                     ,13.81                    ,7.66                     ,                         ,01/09/2017
2,2624.0,07:59                                ,15:35                                ,                                     ,12.63                    ,10.54                    ,                         ,01/09/2017
3,2662.0,09:31                                ,                                     ,                                     ,13.64                    ,                         ,                         ,01/09/2017
4,3652.0,07:47                                ,15:26                                ,                                     ,12.73                    ,6.80                     ,                         ,01/09/2017
5,4588.0,                                     ,                                     ,                                     ,                         ,                         ,                         ,01/09/2017
6,4549.0,                                     ,                                     ,                                     ,                         ,                         ,                         ,01/09/2017
7,4498.0,07:45                                ,15:24                                ,                                     ,14.82                    ,6.33                     ,                         ,01/09/2017
8,4448.0,07:46                                ,15:25                                ,                                     ,13.08                    ,6.76                     ,                         ,01/09/2017
9,4412.0,07:47                                ,15:26                                ,                                     ,10.35                    ,5.12                     ,                         ,01/09/2017
10,4421.0,09:31                                ,                                     ,                                     ,8.47                     ,                         ,                         ,01/09/2017
11,4021.0,08:09                                ,15:43                                ,                                     ,13.01                    ,5.35                     ,                         ,01/09/2017
12,3579.0,07:46                                ,15:26                                ,                                     ,12.25                    ,7.14                     ,                         ,01/09/2017
13,3527.0,                                     ,                                     ,                                     ,                         ,                         ,                         ,01/09/2017
14,3500.0,07:59                                ,15:34                                ,                                     ,13.90                    ,6.35                     ,                         ,01/09/2017
15,3475.0,07:46                                ,15:26                                ,                                     ,13.85                    ,6.85                     ,                         ,01/09/2017
16,3424.0,07:59                                ,15:34                                ,                                     ,6.46                     ,5.60                     ,                         ,01/09/2017
17,2581.0,09:31                                ,                                     ,                                     ,18.57                    ,                         ,                         ,01/09/2017
18,2567.0,07:47                                ,15:27                                ,                                     ,17.02                    ,8.46                     ,                         ,01/09/2017
19,2468.0,07:59                                ,15:35                                ,                                     ,12.18                    ,5.71                     ,                         ,01/09/2017
20,2406.0,08:09                                ,15:43                                ,                                     ,10.48                    ,5.01                     ,                         ,01/09/2017
21,4586.0,08:24                                ,15:53                                ,                                     ,8.31                     ,4.27                     ,                         ,01/09/2017
22,5402.0,                                     ,                                     ,                                     ,                         ,                         ,                         ,01/09/2017
23,4577.0,                                     ,                                     ,                                     ,                         ,                         ,                         ,01/09/2017
24,4585.0,08:16                                ,15:50                                ,                                     ,12.06                    ,5.97                     ,                         ,01/09/2017
25,4575.0,08:22                                ,15:49                                ,                                     ,12.99                    ,6.55                     ,                         ,01/09/2017
26,4545.0,08:17                                ,15:49                                ,                                     ,12.50                    ,6.02                     ,                         ,01/09/2017
27,4528.0,08:16                                ,15:53                                ,                                     ,6.98                     ,4.34                     ,                         ,01/09/2017
28,4536.0,08:22                                ,15:53                                ,                                     ,9.61                     ,6.07                     ,                         ,01/09/2017
29,4537.0,08:17                                ,15:53                                ,                                     ,4.40                     ,2.29                     ,                         ,01/09/2017
30,5409.0,08:40                                ,16:01                                ,                                     ,10.72                    ,6.17                     ,                         ,01/09/2017
31,5403.0,08:40                                ,16:00                                ,                                     ,9.00                     ,7.60                     ,                         ,01/09/2017
32,4582.0,08:23                                ,15:50                                ,                                     ,6.41                     ,4.22                     ,                         ,01/09/2017
33,4560.0,08:30                                ,16:04                                ,                                     ,14.50                    ,8.93                     ,                         ,01/09/2017
34,4551.0,08:30                                ,16:05                                ,                                     ,13.83                    ,7.18                     ,                         ,01/09/2017
35,4557.0,08:29                                ,16:01                                ,                                     ,12.23                    ,8.41                     ,                         ,01/09/2017
36,4535.0,08:41                                ,16:05                                ,                                     ,8.59                     ,4.76                     ,                         ,01/09/2017
37,4525.0,08:40                                ,16:04                                ,                                     ,8.05                     ,3.24                     ,                         ,01/09/2017
38,4066.0,08:30                                ,15:59                                ,                                     ,2.40                     ,10.56                    ,                         ,01/09/2017
39,5407.0,08:49                                ,16:16                                ,                                     ,14.13                    ,7.21                     ,                         ,01/09/2017
40,4587.0,                                     ,                                     ,                                     ,                         ,                         ,                         ,01/09/2017
41,4581.0,09:17                                ,16:21                                ,                                     ,10.74                    ,8.22                     ,                         ,01/09/2017
42,4583.0,08:57                                ,16:22                                ,                                     ,9.52                     ,5.28                     ,                         ,01/09/2017
43,4573.0,                                     ,                                     ,                                     ,                         ,                         ,                         ,01/09/2017
44,4548.0,08:48                                ,16:16                                ,                                     ,15.39                    ,9.36                     ,                         ,01/09/2017
45,4550.0,08:48                                ,16:16                                ,                                     ,11.50                    ,4.84                     ,                         ,01/09/2017
46,4546.0,08:49                                ,16:16                                ,                                     ,10.64                    ,8.93                     ,                         ,01/09/2017
47,4065.0,08:57                                ,16:22                                ,                                     ,7.25                     ,4.15                     ,                         ,01/09/2017
48,5408.0,                                     ,16:31                                ,                                     ,                         ,5.56                     ,                         ,01/09/2017
49,4584.0,09:12                                ,16:32                                ,                                     ,12.13                    ,5.94                     ,                         ,01/09/2017
50,4572.0,09:11                                ,16:31                                ,                                     ,8.90                     ,4.84                     ,                         ,01/09/2017
51,4554.0,                                     ,                                     ,                                     ,                         ,                         ,                         ,01/09/2017
52,4544.0,09:12                                ,16:30                                ,                                     ,6.81                     ,7.26                     ,                         ,01/09/2017
53,2648.0,                                     ,                                     ,                                     ,                         ,                         ,                         ,01/09/2017
54,4426.0,                                     ,                                     ,                                     ,                         ,                         ,                         ,01/09/2017
55,4475.0,                                     ,                                     ,                                     ,                         ,                         ,                         ,01/09/2017
56,4477.0,                                     ,                                     ,                                     ,                         ,                         ,                         ,01/09/2017
57,4465.0,                                     ,                                     ,                                     ,                         ,                         ,                         ,01/09/2017
58,3530.0,                                     ,                                     ,                                     ,                         ,                         ,                         ,01/09/2017
59,3458.0,                                     ,                                     ,                                     ,                         ,                         ,                         ,01/09/2017
60,3437.0,                                     ,                                     ,                                     ,                         ,                         ,                         ,01/09/2017
61,2560.0,                                     ,                                     ,                                     ,                         ,                         ,                         ,01/09/2017
62,2416.0,                                     ,                                     ,                                     ,                         ,                         ,                         ,01/09/2017
63,2710.0,                                     ,                                     ,                                     ,                         ,                         ,                         ,01/09/2017
64,3600.0,                                     ,                                     ,                                     ,                         ,                         ,                         ,01/09/2017
65,3644.0,                                     ,                                     ,                                     ,                         ,                         ,                         ,01/09/2017
66,3785.0,                                     ,                                     ,                                     ,                         ,                         ,                         ,01/09/2017
67,4453.0,                                     ,                                     ,                                     ,                         ,                         ,                         ,01/09/2017
68,3538.0,                                     ,                                     ,                                     ,                         ,                         ,                         ,01/09/2017
69,3460.0,                                     ,                                     ,                                     ,                         ,                         ,                         ,01/09/2017
70,2483.0,                                     ,                                     ,                                     ,                         ,                         ,                         ,01/09/2017
71,2431.0,                                     ,                                     ,                                     ,                         ,                         ,                         ,01/09/2017
0,653.0,07:55                                ,15:20                                ,                                     ,18.19                    ,8.54                     ,                         ,03/09/2017
1,2623.0,08:07                                ,15:38                                ,                                     ,12.94                    ,7.95                     ,                         ,03/09/2017
2,2624.0,08:19                                ,15:32                                ,                                     ,13.22                    ,9.87                     ,                         ,03/09/2017
3,2662.0,09:42                                ,16:52                                ,                                     ,0.49                     ,6.81                     ,                         ,03/09/2017
4,3652.0,07:55                                ,15:19                                ,                                     ,12.58                    ,5.96                     ,                         ,03/09/2017
5,4588.0,                                     ,                                     ,                                     ,                         ,                         ,                         ,03/09/2017
6,4549.0,                                     ,                                     ,                                     ,                         ,                         ,                         ,03/09/2017
7,4498.0,07:54                                ,15:18                                ,                                     ,15.09                    ,8.74                     ,                         ,03/09/2017
8,4448.0,07:54                                ,15:17                                ,                                     ,13.42                    ,6.39                     ,                         ,03/09/2017
9,4412.0,07:55                                ,15:17                                ,                                     ,9.72                     ,4.98                     ,                         ,03/09/2017
10,4421.0,09:43                                ,16:53                                ,                                     ,7.97                     ,4.27                     ,                         ,03/09/2017
11,4021.0,08:19                                ,15:39                                ,                                     ,13.43                    ,5.40                     ,                         ,03/09/2017
12,3579.0,07:54                                ,15:18                                ,                                     ,12.71                    ,7.34                     ,                         ,03/09/2017
13,3527.0,                                     ,                                     ,                                     ,                         ,                         ,                         ,03/09/2017
14,3500.0,08:07                                ,15:31                                ,                                     ,13.16                    ,6.21                     ,                         ,03/09/2017
