Número do grupo        	Número do animal	Número de lactação	Dias em Lactação	Pico de produção	Horário de Ordenha Hoje para Sessão 1	Horário de Ordenha Hoje para Sessão 2	Horário de Ordenha Hoje para Sessão 3	Duração de hoje para a sessão 1 (mm:ss)	Duração de hoje para a sessão 2 (mm:ss)	Duração de hoje para a sessão 3 (mm:ss)	Produção hoje na sessão 1	Produção hoje na sessão 2	Produção hoje na sessão 3	Sessão de hora de início 1 ontem	Sessão de hora de início 2 ontem	Sessão de hora de início 3 ontem	Duração da sessão ontem 1 (mm:ss)	Duração da sessão ontem 2 (mm:ss)	Duração da sessão ontem 3 (mm:ss)	Produção ontem da sessão 1	Produção ontem da sessão 2	Produção ontem da sessão 3
1                      	653             	2                 	119             	                	07:50                                	15:26                                	                                     	07:55                                  	04:27                                  	                                       	14,53                    	7,19                     	                         	07:39                           	15:23                           	                                	10:15                            	04:26                            	                                 	13,0                      	9,1                       	                          
1                      	2623            	1                 	85              	                	08:09                                	15:51                                	                                     	07:36                                  	04:55                                  	                                       	14,77                    	6,93                     	                         	07:53                           	15:46                           	                                	07:22                            	05:00                            	                                 	14,6                      	7,8                       	                          
1                      	2624            	2                 	103             	                	08:10                                	15:50                                	                                     	12:13                                  	10:30                                  	                                       	14,24                    	9,83                     	                         	08:04                           	15:45                           	                                	14:04                            	07:01                            	                                 	14,7                      	7,4                       	                          
1                      	2662            	2                 	132             	                	08:15                                	15:37                                	                                     	07:23                                  	06:49                                  	                                       	10,29                    	5,39                     	                         	08:10                           	15:45                           	                                	05:43                            	04:19                            	                                 	9,5                       	4,4                       	                          
1                      	3652            	2                 	84              	                	07:50                                	15:24                                	                                     	05:10                                  	04:41                                  	                                       	10,03                    	6,49                     	                         	07:40                           	15:24                           	                                	08:26                            	04:44                            	                                 	10,9                      	6,2                       	                          
1                      	4588            	0                 	                	                	                                     	                                     	                                     	                                       	                                       	                                       	                         	                         	                         	                                	                                	                                	                                 	                                 	                                 	                          	                          	                          
1                      	4549            	0                 	                	                	                                     	                                     	                                     	                                       	                                       	                                       	                         	                         	                         	                                	                                	                                	                                 	                                 	                                 	                          	                          	                          
1                      	4498            	1                 	79              	                	07:48                                	15:24                                	                                     	18:49                                  	20:55                                  	                                       	14,60                    	8,51                     	                         	07:37                           	15:23                           	                                	01:38                            	16:49                            	                                 	13,4                      	8,0                       	                          
1                      	4448            	1                 	144             	                	07:48                                	15:24                                	                                     	12:17                                  	06:30                                  	                                       	13,20                    	6,05                     	                         	07:38                           	15:22                           	                                	06:55                            	07:06                            	                                 	12,0                      	6,2                       	                          
1                      	4412            	2                 	82              	                	07:50                                	15:37                                	                                     	06:16                                  	04:07                                  	                                       	10,23                    	4,95                     	                         	07:52                           	15:24                           	                                	07:04                            	03:59                            	                                 	10,4                      	5,0                       	                          
1                      	4421            	1                 	111             	                	08:15                                	15:51                                	                                     	05:57                                  	04:08                                  	                                       	7,03                     	4,29                     	                         	07:53                           	15:46                           	                                	06:27                            	05:29                            	                                 	6,6                       	5,1                       	                          
1                      	4021            	2                 	89              	                	08:03                                	15:50                                	                                     	07:18                                  	04:44                                  	                                       	11,65                    	4,95                     	                         	08:10                           	15:33                           	                                	08:06                            	04:18                            	                                 	11,3                      	4,9                       	                          
1                      	3579            	1                 	74              	                	07:50                                	15:25                                	                                     	09:30                                  	06:18                                  	                                       	13,79                    	7,70                     	                         	07:39                           	15:33                           	                                	07:32                            	06:33                            	                                 	13,4                      	8,2                       	                          
1                      	3527            	1                 	93              	                	                                     	                                     	                                     	                                       	                                       	                                       	                         	                         	                         	                                	                                	                                	                                 	                                 	                                 	                          	                          	                          
1                      	3500            	2                 	90              	                	08:10                                	15:37                                	                                     	06:40                                  	04:12                                  	                                       	13,43                    	6,18                     	                         	07:52                           	15:33                           	                                	06:51                            	04:22                            	                                 	12,5                      	6,7                       	                          
1                      	3475            	1                 	101             	                	07:49                                	15:25                                	                                     	09:15                                  	04:01                                  	                                       	13,41                    	5,43                     	                         	07:40                           	15:24                           	                                	07:40                            	03:41                            	                                 	12,7                      	5,7                       	                          
1                      	3424            	1                 	98              	                	08:10                                	15:50                                	                                     	13:00                                  	09:29                                  	                                       	9,41                     	5,77                     	                         	08:04                           	15:45                           	                                	12:53                            	08:35                            	                                 	8,6                       	5,9                       	                          
1                      	2581            	1                 	126             	                	08:03                                	15:24                                	                                     	09:50                                  	12:57                                  	                                       	16,00                    	6,24                     	                         	07:40                           	15:24                           	                                	07:57                            	05:50                            	                                 	15,8                      	6,6                       	                          
1                      	2567            	1                 	91              	                	07:49                                	15:24                                	                                     	06:51                                  	04:11                                  	                                       	14,91                    	7,87                     	                         	07:39                           	15:22                           	                                	08:03                            	04:05                            	                                 	14,7                      	7,9                       	                          
1                      	2468            	2                 	112             	                	08:03                                	15:50                                	                                     	07:13                                  	04:28                                  	                                       	12,09                    	5,85                     	                         	08:04                           	15:46                           	                                	06:28                            	04:11                            	                                 	13,2                      	5,7                       	                          
1                      	2406            	2                 	87              	                	08:03                                	15:37                                	                                     	09:07                                  	06:04                                  	                                       	9,75                     	5,31                     	                         	08:04                           	15:33                           	                                	11:29                            	06:48                            	                                 	9,8                       	5,6                       	                          
2                      	4586            	1                 	112             	12,32           	08:29                                	16:04                                	                                     	09:38                                  	07:39                                  	                                       	7,64                     	5,21                     	                         	08:26                           	15:58                           	                                	09:17                            	06:57                            	                                 	7,6                       	4,4                       	                          
2                      	5402            	1                 	108             	8,57            	                                     	                                     	                                     	                                       	                                       	                                       	                         	                         	                         	09:38                           	                                	                                	08:11                            	                                 	                                 	4,3                       	                          	                          
2                      	4577            	1                 	105             	9,55            	                                     	                                     	                                     	                                       	                                       	                                       	                         	                         	                         	                                	                                	                                	                                 	                                 	                                 	                          	                          	                          
2                      	4585            	1                 	107             	23,70           	08:29                                	15:59                                	                                     	06:29                                  	03:48                                  	                                       	10,56                    	4,81                     	                         	08:24                           	15:54                           	                                	06:35                            	04:29                            	                                 	10,4                      	6,6                       	                          
