Group Number        	Animal Number	Lactation Number	Days In Milk	Peak Yield	Milk Time Today For Session 1	Milk Time Today For Session 2	Milk Time Today For Session 3	Duration Today Session 1 (mm:ss)	Duration Today Session 2 (mm:ss)	Duration Today Session 3 (mm:ss)	Yield Today Session 1	Yield Today Session 2	Yield Today Session 3	Start Time Session 1 Yesterday	Start Time Session 2 Yesterday	Start Time Session 3 Yesterday	Duration Yesterday Session 1 (mm:ss)	Duration Yesterday Session 2 (mm:ss)	Duration Yesterday Session 3 (mm:ss)	Yield Yesterday Session 1	Yield Yesterday Session 2	Yield Yesterday Session 3
1                   	4588         	0               	            	          	                             	                             	                             	                                	                                	                                	                     	                     	                     	                              	                              	                              	                                    	                                    	                                    	                         	                         	                         
1                   	4549         	0               	            	          	                             	                             	                             	                                	                                	                                	                     	                     	                     	                              	                              	                              	                                    	                                    	                                    	                         	                         	                         
2                   	4585         	1               	59          	          	8:16 AM                      	                             	3:22 PM                      	06:45                           	                                	10:17                           	13.99                	                     	7.00                 	8:31 AM                       	                              	                              	06:59                               	                                    	                                    	13.2                     	                         	                         
2                   	4586         	1               	64          	          	8:07 AM                      	                             	3:23 PM                      	09:09                           	                                	06:01                           	9.33                 	                     	5.20                 	8:31 AM                       	                              	3:54 PM                       	09:06                               	                                    	05:57                               	9.3                      	                         	5.0                      
2                   	5402         	1               	60          	          	8:36 AM                      	                             	3:42 PM                      	03:24                           	                                	06:18                           	2.25                 	                     	2.02                 	9:09 AM                       	                              	3:36 PM                       	19:24                               	                                    	03:47                               	20.3                     	                         	1.7                      
2                   	4575         	1               	57          	          	8:16 AM                      	                             	3:21 PM                      	13:04                           	                                	09:58                           	15.15                	                     	7.58                 	8:12 AM                       	                              	3:43 PM                       	12:45                               	                                    	08:50                               	15.4                     	                         	6.7                      
2                   	4577         	1               	57          	          	                             	                             	                             	                                	                                	                                	                     	                     	                     	                              	                              	                              	                                    	                                    	                                    	                         	                         	                         
2                   	4545         	1               	56          	          	8:16 AM                      	                             	3:20 PM                      	10:26                           	                                	08:39                           	14.11                	                     	7.15                 	8:11 AM                       	                              	3:44 PM                       	11:08                               	                                    	07:50                               	14.6                     	                         	8.5                      
2                   	4528         	1               	54          	          	                             	                             	3:23 PM                      	                                	                                	06:23                           	                     	                     	4.16                 	                              	                              	                              	                                    	                                    	                                    	                         	                         	                         
2                   	4536         	1               	60          	          	8:07 AM                      	                             	3:35 PM                      	08:45                           	                                	07:13                           	11.95                	                     	6.46                 	8:12 AM                       	                              	4:04 PM                       	08:25                               	                                    	07:02                               	12.1                     	                         	5.9                      
2                   	4537         	1               	57          	          	8:07 AM                      	                             	3:22 PM                      	05:43                           	                                	05:26                           	8.02                 	                     	4.83                 	8:30 AM                       	                              	3:53 PM                       	05:38                               	                                    	04:09                               	8.0                      	                         	4.2                      
3                   	5403         	1               	62          	          	8:10 AM                      	                             	3:52 PM                      	07:18                           	                                	05:35                           	14.11                	                     	7.59                 	8:49 AM                       	                              	3:37 PM                       	06:22                               	                                    	00:20                               	12.7                     	                         	7.0                      
3                   	5409         	1               	62          	          	8:35 AM                      	                             	3:51 PM                      	07:58                           	                                	05:00                           	12.39                	                     	6.77                 	                              	                              	3:30 PM                       	                                    	                                    	04:58                               	                         	                         	5.7                      
3                   	4582         	1               	61          	          	8:16 AM                      	                             	3:35 PM                      	14:35                           	                                	07:10                           	15.65                	                     	5.99                 	8:12 AM                       	                              	4:00 PM                       	11:41                               	                                    	10:53                               	13.5                     	                         	1.7                      
3                   	4557         	1               	49          	          	                             	                             	3:36 PM                      	                                	                                	11:20                           	                     	                     	14.32                	                              	                              	3:54 PM                       	                                    	                                    	07:37                               	                         	                         	6.4                      
3                   	4560         	1               	63          	          	8:45 AM                      	                             	3:42 PM                      	12:11                           	                                	09:21                           	16.75                	                     	8.75                 	10:02 AM                      	                              	3:43 PM                       	15:25                               	                                    	09:16                               	17.8                     	                         	8.1                      
3                   	4551         	1               	61          	          	8:09 AM                      	                             	3:36 PM                      	12:05                           	                                	08:43                           	13.92                	                     	8.59                 	                              	                              	3:35 PM                       	                                    	                                    	08:17                               	                         	                         	7.9                      
3                   	4525         	1               	61          	          	8:37 AM                      	                             	3:41 PM                      	09:39                           	                                	12:07                           	11.23                	                     	5.40                 	10:02 AM                      	                              	3:43 PM                       	09:29                               	                                    	07:41                               	10.6                     	                         	5.1                      
3                   	4535         	1               	61          	          	                             	                             	3:51 PM                      	                                	                                	06:54                           	                     	                     	5.64                 	                              	                              	3:42 PM                       	                                    	                                    	05:23                               	                         	                         	4.0                      
3                   	4066         	1               	64          	          	8:07 AM                      	                             	3:41 PM                      	13:08                           	                                	09:56                           	9.79                 	                     	6.93                 	                              	                              	3:36 PM                       	                                    	                                    	10:51                               	                         	                         	7.6                      
4                   	5407         	1               	65          	          	8:46 AM                      	                             	4:04 PM                      	12:10                           	                                	08:25                           	14.66                	                     	8.01                 	9:58 AM                       	                              	4:17 PM                       	11:00                               	                                    	09:40                               	13.5                     	                         	9.8                      
4                   	4587         	1               	69          	          	9:04 AM                      	                             	4:21 PM                      	09:09                           	                                	07:31                           	19.67                	                     	9.45                 	8:56 AM                       	                              	                              	09:09                               	                                    	                                    	19.7                     	                         	                         
4                   	4581         	1               	66          	          	                             	                             	3:57 PM                      	                                	                                	29:51                           	                     	                     	9.86                 	                              	                              	                              	                                    	                                    	                                    	                         	                         	                         
4                   	4583         	1               	67          	          	8:52 AM                      	                             	3:51 PM                      	10:52                           	                                	09:17                           	10.88                	                     	7.59                 	10:01 AM                      	                              	4:16 PM                       	06:52                               	                                    	08:47                               	12.0                     	                         	7.5                      
4                   	4573         	1               	64          	          	8:46 AM                      	                             	3:58 PM                      	05:06                           	                                	04:01                           	2.82                 	                     	1.40                 	9:59 AM                       	                              	4:21 PM                       	05:44                               	                                    	04:08                               	2.5                      	                         	1.4                      
4                   	4546         	1               	66          	          	8:52 AM                      	                             	4:05 PM                      	15:50                           	                                	11:58                           	15.18                	                     	8.54                 	10:01 AM                      	                              	4:30 PM                       	07:17                               	                                    	06:56                               	15.0                     	                         	5.0                      
4                   	4548         	1               	66          	          	8:52 AM                      	                             	4:04 PM                      	16:26                           	                                	13:39                           	15.34                	                     	8.87                 	9:59 AM                       	                              	4:17 PM                       	12:23                               	                                    	08:47                               	16.1                     	                         	9.3                      
4                   	4550         	1               	65          	          	8:45 AM                      	                             	4:04 PM                      	13:58                           	                                	09:15                           	11.62                	                     	6.96                 	9:58 AM                       	                              	                              	15:23                               	                                    	                                    	13.1                     	                         	                         
4                   	4065         	1               	69          	          	8:53 AM                      	                             	3:58 PM                      	04:36                           	                                	03:31                           	7.29                 	                     	3.70                 	9:09 AM                       	                              	4:30 PM                       	05:03                               	                                    	03:28                               	7.8                      	                         	3.7                      
5                   	5408         	1               	53          	          	                             	                             	4:08 PM                      	                                	                                	16:38                           	                     	                     	10.55                	                              	                              	                              	                                    	                                    	                                    	                         	                         	                         
5                   	4584         	1               	11          	          	9:14 AM                      	1:02 PM                      	4:08 PM                      	31:47                           	11:24                           	14:36                           	12.41                	3.04                 	3.11                 	8:49 AM                       	1:23 PM                       	4:00 PM                       	12:08                               	06:06                               	04:00                               	11.6                     	3.7                      	2.0                      
5                   	4572         	1               	17          	          	9:14 AM                      	1:06 PM                      	4:26 PM                      	09:01                           	08:07                           	04:18                           	11.16                	3.15                 	3.09                 	8:31 AM                       	1:23 PM                       	4:00 PM                       	11:10                               	05:16                               	03:28                               	10.0                     	4.2                      	0.0                      
5                   	4554         	1               	40          	          	9:14 AM                      	                             	4:25 PM                      	10:42                           	                                	08:55                           	11.77                	                     	7.21                 	8:49 AM                       	                              	                              	11:08                               	                                    	                                    	11.6                     	                         	                         
5                   	4544         	1               	19          	          	9:15 AM                      	1:02 PM                      	4:26 PM                      	11:32                           	09:54                           	07:13                           	5.97                 	4.75                 	2.81                 	8:50 AM                       	1:23 PM                       	3:54 PM                       	10:29                               	09:48                               	15:38                               	5.0                      	5.9                      	1.2                      
6                   	4426         	2               	8           	          	7:38 AM                      	                             	2:58 PM                      	15:34                           	                                	09:12                           	10.82                	                     	5.01                 	7:34 AM                       	                              	3:07 PM                       	16:48                               	                                    	09:20                               	10.3                     	                         	5.7                      
6                   	2648         	1               	84          	          	7:39 AM                      	                             	2:57 PM                      	11:26                           	                                	19:31                           	14.25                	                     	12.27                	7:34 AM                       	                              	3:06 PM                       	12:00                               	                                    	08:46                               	15.0                     	                         	9.5                      
6                   	4475         	1               	74          	          	7:54 AM                      	                             	3:05 PM                      	06:53                           	                                	05:37                           	12.44                	                     	6.70                 	8:55 AM                       	                              	3:19 PM                       	07:12                               	                                    	05:34                               	12.5                     	                         	6.7                      
