Número do grupo        	Número do animal	Número de lactação	Dias em Lactação	Pico de produção	Horário de Ordenha Hoje para Sessão 1	Horário de Ordenha Hoje para Sessão 2	Horário de Ordenha Hoje para Sessão 3	Duração de hoje para a sessão 1 (mm:ss)	Duração de hoje para a sessão 2 (mm:ss)	Duração de hoje para a sessão 3 (mm:ss)	Produção hoje na sessão 1	Produção hoje na sessão 2	Produção hoje na sessão 3	Sessão de hora de início 1 ontem	Sessão de hora de início 2 ontem	Sessão de hora de início 3 ontem	Duração da sessão ontem 1 (mm:ss)	Duração da sessão ontem 2 (mm:ss)	Duração da sessão ontem 3 (mm:ss)	Produção ontem da sessão 1	Produção ontem da sessão 2	Produção ontem da sessão 3
1                      	4588            	0                 	                	                	                                     	                                     	                                     	                                       	                                       	                                       	                         	                         	                         	                                	                                	                                	                                 	                                 	                                 	                          	                          	                          
1                      	4549            	0                 	                	                	                                     	                                     	                                     	                                       	                                       	                                       	                         	                         	                         	                                	                                	                                	                                 	                                 	                                 	                          	                          	                          
2                      	4585            	1                 	81              	                	08:14                                	15:38                                	                                     	11:44                                  	07:21                                  	                                       	12,91                    	12,86                    	                         	09:23                           	15:31                           	                                	06:08                            	04:36                            	                                 	13,2                      	6,4                       	                          
2                      	4586            	1                 	86              	                	08:23                                	15:39                                	                                     	07:47                                  	06:24                                  	                                       	8,67                     	14,37                    	                         	08:11                           	15:34                           	                                	10:37                            	06:35                            	                                 	9,8                       	5,2                       	                          
2                      	5402            	1                 	82              	                	09:02                                	16:07                                	                                     	04:16                                  	03:08                                  	                                       	3,74                     	1,01                     	                         	08:43                           	15:53                           	                                	03:45                            	03:47                            	                                 	3,2                       	1,3                       	                          
2                      	4575            	1                 	79              	                	08:22                                	15:48                                	                                     	13:50                                  	09:27                                  	                                       	15,99                    	7,01                     	                         	08:10                           	16:08                           	                                	14:12                            	05:46                            	                                 	15,1                      	7,4                       	                          
2                      	4577            	1                 	79              	                	                                     	                                     	                                     	                                       	                                       	                                       	                         	                         	                         	                                	                                	                                	                                 	                                 	                                 	                          	                          	                          
2                      	4545            	1                 	78              	                	08:14                                	15:48                                	                                     	11:16                                  	09:55                                  	                                       	13,46                    	8,73                     	                         	09:24                           	15:31                           	                                	10:10                            	11:43                            	                                 	15,0                      	7,3                       	                          
2                      	4528            	1                 	76              	                	08:23                                	15:38                                	                                     	14:02                                  	07:43                                  	                                       	7,61                     	10,02                    	                         	09:23                           	15:33                           	                                	08:08                            	06:15                            	                                 	8,4                       	4,1                       	                          
2                      	4536            	1                 	82              	                	08:14                                	15:48                                	                                     	10:23                                  	07:49                                  	                                       	11,27                    	6,81                     	                         	08:11                           	15:33                           	                                	09:49                            	08:09                            	                                 	11,6                      	7,5                       	                          
2                      	4537            	1                 	79              	                	08:23                                	15:38                                	                                     	04:42                                  	08:01                                  	                                       	4,58                     	7,39                     	                         	08:11                           	15:31                           	                                	04:49                            	03:08                            	                                 	6,0                       	3,5                       	                          
3                      	5403            	1                 	84              	                	08:42                                	15:58                                	                                     	12:14                                  	05:30                                  	                                       	11,43                    	7,10                     	                         	08:37                           	15:52                           	                                	07:35                            	06:29                            	                                 	14,0                      	8,1                       	                          
3                      	5409            	1                 	84              	                	08:30                                	16:06                                	                                     	10:25                                  	06:05                                  	                                       	12,64                    	6,77                     	                         	08:24                           	15:52                           	                                	09:05                            	07:18                            	                                 	12,1                      	7,3                       	                          
3                      	4582            	1                 	83              	                	08:14                                	15:49                                	                                     	11:04                                  	08:12                                  	                                       	11,09                    	6,03                     	                         	08:07                           	15:33                           	                                	11:19                            	07:12                            	                                 	12,2                      	5,5                       	                          
3                      	4557            	1                 	71              	                	08:42                                	15:59                                	                                     	12:28                                  	10:10                                  	                                       	12,92                    	7,95                     	                         	08:31                           	16:07                           	                                	14:08                            	10:08                            	                                 	13,1                      	10,4                      	                          
3                      	4560            	1                 	85              	                	08:30                                	16:07                                	                                     	13:46                                  	09:03                                  	                                       	15,04                    	9,13                     	                         	08:23                           	16:11                           	                                	13:19                            	08:55                            	                                 	15,8                      	17,0                      	                          
3                      	4551            	1                 	83              	                	08:43                                	15:58                                	                                     	11:29                                  	07:57                                  	                                       	14,85                    	7,88                     	                         	08:30                           	16:09                           	                                	12:05                            	07:56                            	                                 	15,0                      	8,4                       	                          
3                      	4525            	1                 	83              	                	08:42                                	16:13                                	                                     	11:04                                  	05:42                                  	                                       	12,39                    	4,97                     	                         	08:23                           	16:08                           	                                	06:57                            	05:28                            	                                 	9,1                       	5,2                       	                          
3                      	4535            	1                 	83              	                	08:29                                	15:58                                	                                     	10:09                                  	06:50                                  	                                       	10,18                    	5,22                     	                         	08:30                           	16:16                           	                                	09:47                            	05:46                            	                                 	9,5                       	4,4                       	                          
3                      	4066            	1                 	86              	                	08:29                                	16:07                                	                                     	14:03                                  	09:36                                  	                                       	10,42                    	7,02                     	                         	08:23                           	15:53                           	                                	14:31                            	09:56                            	                                 	10,3                      	7,3                       	                          
4                      	5407            	1                 	87              	                	09:13                                	16:13                                	                                     	15:15                                  	07:29                                  	                                       	16,07                    	7,67                     	                         	08:51                           	16:11                           	                                	13:43                            	09:43                            	                                 	14,2                      	35,1                      	                          
4                      	4587            	1                 	91              	                	09:37                                	                                     	                                     	14:05                                  	                                       	                                       	4,82                     	                         	                         	09:36                           	17:06                           	                                	23:36                            	09:52                            	                                 	9,4                       	4,3                       	                          
4                      	4581            	1                 	88              	                	09:00                                	15:30                                	                                     	13:25                                  	23:06                                  	                                       	16,27                    	10,11                    	                         	08:41                           	16:22                           	                                	13:25                            	27:35                            	                                 	13,8                      	9,4                       	                          
4                      	4583            	1                 	89              	                	08:52                                	15:33                                	                                     	11:15                                  	09:06                                  	                                       	10,97                    	5,63                     	                         	08:44                           	15:49                           	                                	10:44                            	08:25                            	                                 	10,8                      	6,1                       	                          
4                      	4573            	1                 	86              	                	09:13                                	16:22                                	                                     	05:05                                  	04:46                                  	                                       	3,27                     	3,70                     	                         	08:52                           	16:24                           	                                	05:07                            	04:11                            	                                 	2,9                       	1,6                       	                          
4                      	4546            	1                 	88              	                	09:01                                	16:13                                	                                     	16:02                                  	12:07                                  	                                       	12,56                    	8,04                     	                         	08:44                           	                                	                                	16:58                            	                                 	                                 	11,7                      	                          	                          
4                      	4548            	1                 	88              	                	09:48                                	                                     	                                     	10:05                                  	                                       	                                       	14,46                    	                         	                         	09:36                           	17:06                           	                                	10:58                            	07:25                            	                                 	14,9                      	9,2                       	                          
4                      	4550            	1                 	87              	                	09:02                                	16:13                                	                                     	13:50                                  	08:01                                  	                                       	12,27                    	5,56                     	                         	08:51                           	                                	                                	14:08                            	                                 	                                 	9,7                       	                          	                          
4                      	4065            	1                 	91              	                	08:51                                	15:33                                	                                     	04:29                                  	03:25                                  	                                       	8,10                     	3,35                     	                         	08:53                           	15:50                           	                                	04:47                            	03:40                            	                                 	7,6                       	3,6                       	                          
5                      	5408            	1                 	75              	                	08:51                                	16:28                                	                                     	09:33                                  	07:12                                  	                                       	10,39                    	6,94                     	                         	09:16                           	15:49                           	                                	09:39                            	07:13                            	                                 	10,0                      	7,0                       	                          
5                      	4584            	1                 	33              	                	09:14                                	16:22                                	                                     	14:17                                  	10:16                                  	                                       	11,77                    	7,58                     	                         	09:11                           	16:12                           	                                	12:24                            	11:09                            	                                 	27,7                      	9,3                       	                          
5                      	4572            	1                 	39              	                	09:13                                	16:21                                	                                     	09:35                                  	07:09                                  	                                       	10,33                    	9,97                     	                         	09:11                           	16:24                           	                                	09:38                            	14:43                            	                                 	10,7                      	5,7                       	                          
5                      	4554            	1                 	62              	                	08:51                                	15:32                                	                                     	11:54                                  	18:58                                  	                                       	10,80                    	5,12                     	                         	09:12                           	15:49                           	                                	10:57                            	11:49                            	                                 	11,0                      	5,5                       	                          
5                      	4544            	1                 	41              	                	09:37                                	16:21                                	                                     	16:44                                  	06:45                                  	                                       	10,93                    	6,89                     	                         	09:12                           	16:29                           	                                	10:33                            	08:45                            	                                 	5,9                       	5,3                       	                          
6                      	4426            	2                 	30              	                	07:40                                	16:50                                	                                     	15:01                                  	12:47                                  	                                       	10,08                    	6,32                     	                         	07:38                           	16:48                           	                                	15:18                            	12:04                            	                                 	10,8                      	6,2                       	                          
6                      	2648            	1                 	106             	                	07:40                                	15:15                                	                                     	15:27                                  	08:25                                  	                                       	17,60                    	9,36                     	                         	07:39                           	15:13                           	                                	11:27                            	10:07                            	                                 	14,6                      	10,4                      	                          
6                      	4475            	1                 	96              	                	08:00                                	15:17                                	                                     	07:51                                  	05:33                                  	                                       	13,72                    	6,61                     	                         	07:53                           	15:22                           	                                	07:24                            	04:43                            	                                 	14,2                      	6,1                       	                          
