Group Number        	Animal Number	Lactation Number	Days In Milk	Peak Yield	Milk Time Today For Session 1	Milk Time Today For Session 2	Milk Time Today For Session 3	Duration Today Session 1 (mm:ss)	Duration Today Session 2 (mm:ss)	Duration Today Session 3 (mm:ss)	Yield Today Session 1	Yield Today Session 2	Yield Today Session 3	Start Time Session 1 Yesterday	Start Time Session 2 Yesterday	Start Time Session 3 Yesterday	Duration Yesterday Session 1 (mm:ss)	Duration Yesterday Session 2 (mm:ss)	Duration Yesterday Session 3 (mm:ss)	Yield Yesterday Session 1	Yield Yesterday Session 2	Yield Yesterday Session 3
1                   	4584         	0               	            	          	                             	                             	                             	                                	                                	                                	                     	                     	                     	                              	                              	                              	                                    	                                    	                                    	                         	                         	                         
1                   	4588         	0               	            	          	                             	                             	                             	                                	                                	                                	                     	                     	                     	                              	                              	                              	                                    	                                    	                                    	                         	                         	                         
1                   	4549         	0               	            	          	                             	                             	                             	                                	                                	                                	                     	                     	                     	                              	                              	                              	                                    	                                    	                                    	                         	                         	                         
2                   	5402         	1               	46          	          	8:29 AM                      	                             	3:17 PM                      	13:24                           	                                	01:38                           	2.42                 	                     	0.04                 	9:03 AM                       	                              	4:03 PM                       	08:52                               	                                    	08:03                               	10.3                     	                         	1.8                      
2                   	4585         	1               	45          	          	8:31 AM                      	                             	3:33 PM                      	06:38                           	                                	04:30                           	12.28                	                     	7.26                 	8:17 AM                       	                              	3:50 PM                       	06:11                               	                                    	04:25                               	11.6                     	                         	7.3                      
2                   	4586         	1               	50          	          	                             	                             	3:32 PM                      	                                	                                	05:54                           	                     	                     	4.90                 	                              	                              	                              	                                    	                                    	                                    	                         	                         	                         
2                   	4575         	1               	43          	          	8:33 AM                      	                             	3:28 PM                      	11:31                           	                                	08:48                           	14.93                	                     	6.32                 	8:16 AM                       	                              	3:50 PM                       	13:02                               	                                    	08:36                               	14.7                     	                         	7.2                      
2                   	4577         	1               	43          	          	9:38 AM                      	                             	4:25 PM                      	05:30                           	                                	07:12                           	1.32                 	                     	0.82                 	9:27 AM                       	                              	4:44 PM                       	08:19                               	                                    	09:32                               	1.2                      	                         	1.3                      
2                   	4545         	1               	42          	          	8:29 AM                      	                             	3:32 PM                      	11:14                           	                                	07:46                           	14.88                	                     	8.48                 	8:19 AM                       	                              	3:48 PM                       	10:12                               	                                    	07:23                               	13.7                     	                         	7.5                      
2                   	4537         	1               	43          	          	8:31 AM                      	                             	3:44 PM                      	06:02                           	                                	05:43                           	7.72                 	                     	4.58                 	8:17 AM                       	                              	3:48 PM                       	06:10                               	                                    	05:07                               	8.6                      	                         	5.2                      
2                   	4528         	1               	40          	          	8:33 AM                      	                             	3:44 PM                      	08:43                           	                                	04:07                           	5.82                 	                     	1.97                 	8:17 AM                       	                              	3:48 PM                       	09:59                               	                                    	05:50                               	7.9                      	                         	4.0                      
2                   	4536         	1               	46          	          	8:52 AM                      	                             	3:44 PM                      	10:07                           	                                	07:10                           	13.66                	                     	6.36                 	8:20 AM                       	                              	3:51 PM                       	08:03                               	                                    	06:28                               	11.3                     	                         	7.2                      
3                   	5403         	1               	48          	          	                             	                             	3:17 PM                      	                                	                                	05:39                           	                     	                     	6.91                 	                              	                              	                              	                                    	                                    	                                    	                         	                         	                         
3                   	5409         	1               	48          	          	                             	                             	3:28 PM                      	                                	                                	05:49                           	                     	                     	6.54                 	                              	                              	                              	                                    	                                    	                                    	                         	                         	                         
3                   	4582         	1               	47          	          	8:52 AM                      	                             	3:33 PM                      	10:50                           	                                	07:12                           	10.90                	                     	4.14                 	8:20 AM                       	                              	3:47 PM                       	10:21                               	                                    	07:51                               	10.7                     	                         	6.0                      
3                   	4557         	1               	35          	          	8:29 AM                      	                             	3:28 PM                      	11:46                           	                                	11:01                           	14.17                	                     	7.32                 	9:03 AM                       	                              	4:03 PM                       	10:43                               	                                    	09:47                               	11.3                     	                         	9.1                      
3                   	4560         	1               	49          	          	                             	                             	3:28 PM                      	                                	                                	10:46                           	                     	                     	7.09                 	                              	                              	                              	                                    	                                    	                                    	                         	                         	                         
3                   	4551         	1               	47          	          	8:29 AM                      	                             	3:17 PM                      	10:45                           	                                	08:37                           	14.38                	                     	9.18                 	8:20 AM                       	                              	3:51 PM                       	12:25                               	                                    	09:37                               	13.6                     	                         	9.9                      
3                   	4525         	1               	47          	          	                             	                             	3:12 PM                      	                                	                                	10:42                           	                     	                     	6.05                 	                              	                              	                              	                                    	                                    	                                    	                         	                         	                         
3                   	4535         	1               	47          	          	                             	                             	3:17 PM                      	                                	                                	04:24                           	                     	                     	3.50                 	                              	                              	                              	                                    	                                    	                                    	                         	                         	                         
3                   	4066         	1               	50          	          	                             	                             	3:13 PM                      	                                	                                	10:07                           	                     	                     	7.75                 	                              	                              	                              	                                    	                                    	                                    	                         	                         	                         
4                   	5407         	1               	51          	          	9:15 AM                      	                             	3:47 PM                      	10:53                           	                                	08:55                           	12.73                	                     	8.65                 	                              	                              	4:03 PM                       	                                    	                                    	08:13                               	                         	                         	7.2                      
4                   	4587         	1               	55          	          	8:58 AM                      	                             	3:48 PM                      	23:21                           	                                	24:55                           	18.83                	                     	8.30                 	9:06 AM                       	                              	4:11 PM                       	27:44                               	                                    	26:10                               	16.2                     	                         	10.0                     
4                   	4573         	1               	50          	          	                             	                             	4:01 PM                      	                                	                                	03:40                           	                     	                     	1.68                 	                              	                              	                              	                                    	                                    	                                    	                         	                         	                         
4                   	4581         	1               	52          	          	8:49 AM                      	                             	3:47 PM                      	13:25                           	                                	24:49                           	15.02                	                     	7.64                 	8:40 AM                       	                              	4:07 PM                       	13:25                               	                                    	29:11                               	17.3                     	                         	8.7                      
4                   	4583         	1               	53          	          	8:59 AM                      	                             	3:47 PM                      	11:33                           	                                	09:35                           	11.96                	                     	7.69                 	8:45 AM                       	                              	4:03 PM                       	12:22                               	                                    	10:51                               	11.7                     	                         	9.2                      
4                   	4546         	1               	52          	          	8:53 AM                      	                             	4:01 PM                      	14:53                           	                                	09:36                           	14.88                	                     	8.39                 	9:08 AM                       	                              	4:24 PM                       	26:04                               	                                    	09:24                               	13.1                     	                         	7.8                      
4                   	4548         	1               	52          	          	9:38 AM                      	                             	4:25 PM                      	16:18                           	                                	08:24                           	18.72                	                     	9.52                 	9:26 AM                       	                              	4:44 PM                       	08:58                               	                                    	10:02                               	13.8                     	                         	10.2                     
4                   	4550         	1               	51          	          	8:53 AM                      	                             	3:45 PM                      	15:55                           	                                	09:49                           	12.43                	                     	7.71                 	8:36 AM                       	                              	4:11 PM                       	15:14                               	                                    	10:46                               	12.7                     	                         	7.6                      
4                   	4065         	1               	55          	          	9:00 AM                      	                             	4:01 PM                      	04:52                           	                                	03:07                           	7.40                 	                     	3.36                 	9:04 AM                       	                              	4:12 PM                       	04:33                               	                                    	03:12                               	11.6                     	                         	3.4                      
5                   	5408         	1               	39          	          	9:15 AM                      	                             	4:01 PM                      	11:44                           	                                	05:37                           	13.24                	                     	5.46                 	                              	                              	4:24 PM                       	                                    	                                    	06:03                               	                         	                         	6.3                      
5                   	4554         	1               	26          	          	9:15 AM                      	                             	                             	11:22                           	                                	                                	12.77                	                     	                     	                              	                              	4:24 PM                       	                                    	                                    	08:22                               	                         	                         	8.5                      
5                   	4572         	1               	3           	          	9:34 AM                      	12:59 PM                     	4:23 PM                      	12:45                           	09:41                           	09:31                           	7.35                 	1.69                 	0.78                 	9:23 AM                       	12:46 PM                      	4:42 PM                       	16:59                               	11:14                               	14:26                               	3.8                      	1.6                      	2.0                      
5                   	4544         	1               	5           	          	9:36 AM                      	12:59 PM                     	4:23 PM                      	17:52                           	09:15                           	09:20                           	5.73                 	2.19                 	0.87                 	9:25 AM                       	12:46 PM                      	4:43 PM                       	15:02                               	10:00                               	14:07                               	2.3                      	3.4                      	2.9                      
6                   	2648         	1               	70          	          	7:37 AM                      	                             	2:53 PM                      	15:59                           	                                	07:22                           	15.36                	                     	7.33                 	7:46 AM                       	                              	3:12 PM                       	11:36                               	                                    	11:20                               	16.9                     	                         	7.8                      
6                   	4475         	1               	60          	          	7:34 AM                      	                             	3:04 PM                      	07:51                           	                                	05:36                           	13.42                	                     	6.63                 	7:33 AM                       	                              	3:12 PM                       	06:46                               	                                    	04:57                               	12.2                     	                         	4.9                      
6                   	4477         	2               	78          	          	7:33 AM                      	                             	                             	05:35                           	                                	                                	9.98                 	                     	                     	7:35 AM                       	                              	3:09 PM                       	05:42                               	                                    	03:50                               	9.3                      	                         	4.3                      
6                   	4465         	2               	74          	          	7:50 AM                      	                             	2:53 PM                      	07:48                           	                                	17:05                           	12.83                	                     	11.83                	7:32 AM                       	                              	3:11 PM                       	07:56                               	                                    	04:59                               	13.3                     	                         	6.3                      
6                   	3530         	1               	57          	          	7:36 AM                      	                             	2:52 PM                      	15:30                           	                                	06:47                           	12.85                	                     	7.03                 	7:35 AM                       	                              	3:10 PM                       	10:55                               	                                    	08:09                               	12.8                     	                         	8.0                      
6                   	3458         	1               	77          	          	7:33 AM                      	                             	2:53 PM                      	07:33                           	                                	16:49                           	10.39                	                     	9.17                 	7:35 AM                       	                              	3:12 PM                       	07:08                               	                                    	04:51                               	9.2                      	                         	4.6                      
6                   	3437         	1               	78          	          	                             	                             	                             	                                	                                	                                	                     	                     	                     	7:32 AM                       	                              	3:10 PM                       	06:50                               	                                    	03:56                               	13.2                     	                         	5.6                      
