Group Number        	Animal Number	Lactation Number	Days In Milk	Peak Yield	Milk Time Today For Session 1	Duration Today Session 1 (mm:ss)	Yield Today Session 1	Milk Time Today For Session 2	Duration Today Session 2 (mm:ss)	Yield Today Session 2	Start Time Session 1 Yesterday	Duration Yesterday Session 1 (mm:ss)	Yield Yesterday Session 1	Start Time Session 2 Yesterday	Duration Yesterday Session 2 (mm:ss)	Yield Yesterday Session 2
1                   	5402         	0               	            	          	                             	                                	                     	                             	                                	                     	                              	                                    	                         	                              	                                    	                         
1                   	5408         	0               	            	          	                             	                                	                     	                             	                                	                     	                              	                                    	                         	                              	                                    	                         
1                   	5409         	0               	            	          	                             	                                	                     	                             	                                	                     	                              	                                    	                         	                              	                                    	                         
1                   	4584         	0               	            	          	                             	                                	                     	                             	                                	                     	                              	                                    	                         	                              	                                    	                         
1                   	4585         	0               	            	          	                             	                                	                     	                             	                                	                     	                              	                                    	                         	                              	                                    	                         
1                   	4588         	0               	            	          	                             	                                	                     	                             	                                	                     	                              	                                    	                         	                              	                                    	                         
1                   	4575         	0               	            	          	                             	                                	                     	                             	                                	                     	                              	                                    	                         	                              	                                    	                         
1                   	4577         	0               	            	          	                             	                                	                     	                             	                                	                     	                              	                                    	                         	                              	                                    	                         
1                   	4582         	0               	            	          	                             	                                	                     	                             	                                	                     	                              	                                    	                         	                              	                                    	                         
1                   	4554         	0               	            	          	                             	                                	                     	                             	                                	                     	                              	                                    	                         	                              	                                    	                         
1                   	4557         	0               	            	          	                             	                                	                     	                             	                                	                     	                              	                                    	                         	                              	                                    	                         
1                   	4572         	0               	            	          	                             	                                	                     	                             	                                	                     	                              	                                    	                         	                              	                                    	                         
1                   	4545         	0               	            	          	                             	                                	                     	                             	                                	                     	                              	                                    	                         	                              	                                    	                         
1                   	4549         	0               	            	          	                             	                                	                     	                             	                                	                     	                              	                                    	                         	                              	                                    	                         
1                   	4551         	0               	            	          	                             	                                	                     	                             	                                	                     	                              	                                    	                         	                              	                                    	                         
1                   	4537         	0               	            	          	                             	                                	                     	                             	                                	                     	                              	                                    	                         	                              	                                    	                         
1                   	4544         	0               	            	          	                             	                                	                     	                             	                                	                     	                              	                                    	                         	                              	                                    	                         
1                   	4525         	0               	            	          	                             	                                	                     	                             	                                	                     	                              	                                    	                         	                              	                                    	                         
1                   	4528         	0               	            	          	                             	                                	                     	                             	                                	                     	                              	                                    	                         	                              	                                    	                         
1                   	4535         	0               	            	          	                             	                                	                     	                             	                                	                     	                              	                                    	                         	                              	                                    	                         
1                   	4536         	0               	            	          	                             	                                	                     	                             	                                	                     	                              	                                    	                         	                              	                                    	                         
3                   	5403         	1               	            	          	3:32 PM                      	-01:-26                         	0.43                 	1:33 PM                      	09:06                           	3.00                 	                              	                                    	                         	                              	                                    	                         
3                   	4586         	1               	2           	          	3:32 PM                      	-01:-09                         	1.74                 	1:34 PM                      	11:20                           	3.96                 	4:04 PM                       	-29:-11                             	1.9                      	1:00 PM                       	30:17                               	5.9                      
3                   	4560         	1               	1           	          	3:30 PM                      	00:13                           	1.86                 	1:33 PM                      	11:38                           	3.34                 	3:56 PM                       	-21:-46                             	0.8                      	12:59 PM                      	15:33                               	3.4                      
3                   	4066         	1               	2           	          	3:30 PM                      	00:35                           	0.54                 	1:34 PM                      	11:14                           	4.57                 	3:57 PM                       	-22:-12                             	1.1                      	12:58 PM                      	16:16                               	1.0                      
4                   	5407         	1               	3           	          	4:10 PM                      	-39:-11                         	1.92                 	1:00 PM                      	11:27                           	3.11                 	3:35 PM                       	00:-48                              	1.1                      	1:26 PM                       	09:03                               	2.8                      
4                   	4587         	1               	7           	          	3:42 PM                      	-11:-38                         	4.56                 	1:05 PM                      	11:16                           	3.98                 	3:39 PM                       	-04:-42                             	2.9                      	1:25 PM                       	10:10                               	5.6                      
4                   	4573         	1               	2           	          	3:39 PM                      	-08:-16                         	0.89                 	12:58 PM                     	17:54                           	2.15                 	3:35 PM                       	00:-12                              	1.4                      	12:59 PM                      	11:07                               	1.9                      
4                   	4581         	1               	4           	          	3:41 PM                      	-10:-59                         	2.22                 	1:04 PM                      	05:00                           	3.80                 	4:02 PM                       	-27:-37                             	1.0                      	1:00 PM                       	29:58                               	2.8                      
4                   	4583         	1               	5           	          	3:59 PM                      	14:07                           	9.06                 	12:57 PM                     	14:17                           	3.59                 	3:34 PM                       	00:24                               	1.6                      	1:27 PM                       	08:14                               	1.9                      
4                   	4546         	1               	4           	          	3:59 PM                      	14:31                           	11.16                	1:18 PM                      	07:20                           	3.50                 	3:42 PM                       	-07:-05                             	1.1                      	1:02 PM                       	22:58                               	4.2                      
4                   	4548         	1               	4           	          	4:00 PM                      	11:37                           	2.91                 	1:05 PM                      	19:29                           	4.74                 	3:41 PM                       	-06:-31                             	1.9                      	1:02 PM                       	22:13                               	4.8                      
4                   	4550         	1               	3           	          	3:41 PM                      	-10:-38                         	1.83                 	12:59 PM                     	12:29                           	3.33                 	3:55 PM                       	-20:-30                             	1.6                      	1:27 PM                       	08:39                               	3.3                      
4                   	4065         	1               	7           	          	4:01 PM                      	01:37                           	1.94                 	1:05 PM                      	17:22                           	2.30                 	3:36 PM                       	-01:-10                             	1.2                      	12:59 PM                      	14:52                               	1.4                      
34                  	34           	0               	1           	          	                             	                                	41.06                	                             	                                	45.37                	                              	                                    	17.6                     	                              	                                    	38.9                     
[Group Number] < '8'	             	                	            	          	                             	                                	                     	                             	                                	                     	                              	                                    	                         	                              	                                    	                         
