Group Number        	Animal Number	Lactation Number	Days In Milk	Peak Yield	Milk Time Today For Session 1	Milk Time Today For Session 2	Milk Time Today For Session 3	Duration Today Session 1 (mm:ss)	Duration Today Session 2 (mm:ss)	Duration Today Session 3 (mm:ss)	Yield Today Session 1	Yield Today Session 2	Yield Today Session 3	Start Time Session 1 Yesterday	Start Time Session 2 Yesterday	Start Time Session 3 Yesterday	Duration Yesterday Session 1 (mm:ss)	Duration Yesterday Session 2 (mm:ss)	Duration Yesterday Session 3 (mm:ss)	Yield Yesterday Session 1	Yield Yesterday Session 2	Yield Yesterday Session 3
1                   	4584         	0               	            	          	                             	                             	                             	                                	                                	                                	                     	                     	                     	                              	                              	                              	                                    	                                    	                                    	                         	                         	                         
1                   	4588         	0               	            	          	                             	                             	                             	                                	                                	                                	                     	                     	                     	                              	                              	                              	                                    	                                    	                                    	                         	                         	                         
1                   	4572         	0               	            	          	                             	                             	                             	                                	                                	                                	                     	                     	                     	                              	                              	                              	                                    	                                    	                                    	                         	                         	                         
1                   	4549         	0               	            	          	                             	                             	                             	                                	                                	                                	                     	                     	                     	                              	                              	                              	                                    	                                    	                                    	                         	                         	                         
1                   	4544         	0               	            	          	                             	                             	                             	                                	                                	                                	                     	                     	                     	                              	                              	                              	                                    	                                    	                                    	                         	                         	                         
2                   	5402         	1               	21          	          	8:54 AM                      	                             	3:58 PM                      	02:54                           	                                	07:09                           	2.25                 	                     	1.60                 	8:57 AM                       	12:57 PM                      	4:18 PM                       	02:21                               	03:16                               	01:40                               	1.2                      	0.9                      	0.3                      
2                   	4585         	1               	20          	          	9:14 AM                      	12:52 PM                     	4:24 PM                      	07:22                           	03:25                           	02:50                           	13.71                	4.41                 	3.46                 	9:15 AM                       	1:12 PM                       	4:30 PM                       	07:48                               	04:12                               	02:58                               	14.7                     	4.9                      	3.3                      
2                   	4586         	1               	25          	          	                             	12:52 PM                     	4:14 PM                      	                                	04:53                           	03:39                           	                     	3.49                 	2.08                 	9:33 AM                       	                              	4:31 PM                       	16:53                               	                                    	05:02                               	9.7                      	                         	4.3                      
2                   	4575         	1               	18          	          	9:14 AM                      	12:52 PM                     	4:24 PM                      	10:53                           	05:12                           	19:26                           	12.70                	3.19                 	6.83                 	9:26 AM                       	1:01 PM                       	4:36 PM                       	10:12                               	09:04                               	04:59                               	6.6                      	3.0                      	4.2                      
2                   	4577         	1               	18          	          	9:15 AM                      	12:55 PM                     	4:23 PM                      	05:57                           	05:29                           	10:11                           	2.19                 	0.97                 	1.20                 	9:15 AM                       	1:13 PM                       	4:32 PM                       	07:10                               	06:17                               	10:05                               	3.0                      	5.4                      	1.1                      
2                   	4545         	1               	17          	          	9:17 AM                      	12:56 PM                     	4:35 PM                      	10:12                           	06:33                           	04:10                           	13.37                	4.56                 	10.10                	9:14 AM                       	                              	4:36 PM                       	09:12                               	                                    	06:29                               	12.9                     	                         	3.5                      
2                   	4537         	1               	18          	          	9:35 AM                      	12:54 PM                     	4:15 PM                      	05:56                           	09:31                           	03:50                           	8.75                 	2.87                 	2.55                 	9:26 AM                       	1:01 PM                       	4:35 PM                       	06:34                               	12:03                               	04:22                               	7.8                      	3.7                      	1.8                      
2                   	4528         	1               	15          	          	9:36 AM                      	1:11 PM                      	4:51 PM                      	04:11                           	08:20                           	03:16                           	2.33                 	1.56                 	1.38                 	9:42 AM                       	                              	4:50 PM                       	05:13                               	                                    	03:28                               	3.9                      	                         	2.5                      
2                   	4536         	1               	21          	          	9:18 AM                      	1:06 PM                      	4:23 PM                      	09:51                           	05:25                           	04:58                           	14.00                	4.99                 	3.88                 	9:27 AM                       	1:02 PM                       	4:36 PM                       	08:32                               	09:21                               	04:48                               	7.7                      	5.8                      	3.7                      
3                   	5403         	1               	23          	          	8:38 AM                      	                             	3:57 PM                      	06:57                           	                                	05:03                           	13.21                	                     	7.69                 	8:39 AM                       	                              	3:54 PM                       	07:56                               	                                    	02:44                               	13.7                     	                         	6.4                      
3                   	5409         	1               	23          	          	8:38 AM                      	                             	4:08 PM                      	07:35                           	                                	09:44                           	12.59                	                     	7.46                 	8:39 AM                       	                              	3:55 PM                       	07:51                               	                                    	05:20                               	12.8                     	                         	6.8                      
3                   	4582         	1               	22          	          	9:17 AM                      	12:56 PM                     	4:15 PM                      	11:03                           	05:42                           	04:00                           	14.34                	4.96                 	3.10                 	9:26 AM                       	1:04 PM                       	4:30 PM                       	07:14                               	09:26                               	11:21                               	7.6                      	4.2                      	3.2                      
3                   	4557         	1               	10          	          	8:39 AM                      	12:51 PM                     	4:14 PM                      	09:56                           	05:10                           	04:29                           	14.59                	3.85                 	3.32                 	8:39 AM                       	12:55 PM                      	4:15 PM                       	11:40                               	05:10                               	04:44                               	14.6                     	5.0                      	3.1                      
3                   	4560         	1               	24          	          	8:55 AM                      	                             	                             	13:41                           	                                	                                	17.13                	                     	                     	8:58 AM                       	                              	4:18 PM                       	10:20                               	                                    	08:45                               	15.5                     	                         	8.5                      
3                   	4551         	1               	22          	          	8:38 AM                      	                             	4:01 PM                      	11:01                           	                                	08:19                           	14.70                	                     	7.33                 	8:39 AM                       	12:55 PM                      	4:14 PM                       	10:13                               	06:29                               	04:23                               	13.9                     	6.1                      	3.6                      
3                   	4525         	1               	22          	          	9:14 AM                      	                             	4:08 PM                      	11:51                           	                                	10:21                           	10.37                	                     	14.16                	8:57 AM                       	12:56 PM                      	4:18 PM                       	11:47                               	04:58                               	10:01                               	11.3                     	4.0                      	3.2                      
3                   	4535         	1               	22          	          	8:54 AM                      	                             	3:59 PM                      	06:11                           	                                	04:08                           	6.23                 	                     	1.08                 	8:57 AM                       	                              	4:15 PM                       	08:02                               	                                    	03:56                               	7.4                      	                         	3.2                      
3                   	4066         	1               	25          	          	8:54 AM                      	                             	4:08 PM                      	13:27                           	                                	05:28                           	12.13                	                     	6.63                 	9:14 AM                       	                              	3:54 PM                       	12:32                               	                                    	09:20                               	9.7                      	                         	7.7                      
4                   	5407         	1               	26          	          	8:18 AM                      	                             	3:40 PM                      	13:03                           	                                	07:46                           	14.94                	                     	6.69                 	8:19 AM                       	                              	3:38 PM                       	12:13                               	                                    	09:50                               	12.6                     	                         	8.4                      
4                   	4587         	1               	30          	          	8:20 AM                      	                             	3:40 PM                      	39:55                           	                                	12:13                           	17.79                	                     	7.68                 	8:31 AM                       	                              	3:42 PM                       	22:01                               	                                    	05:34                               	18.6                     	                         	8.0                      
4                   	4573         	1               	25          	          	8:27 AM                      	                             	3:43 PM                      	07:40                           	                                	05:15                           	6.11                 	                     	1.43                 	8:23 AM                       	                              	3:40 PM                       	04:53                               	                                    	04:49                               	1.8                      	                         	2.1                      
4                   	4581         	1               	27          	          	8:19 AM                      	                             	4:35 PM                      	13:25                           	                                	10:52                           	16.78                	                     	8.78                 	8:23 AM                       	                              	3:40 PM                       	13:25                               	                                    	10:52                               	17.2                     	                         	8.9                      
4                   	4583         	1               	28          	          	8:19 AM                      	                             	3:39 PM                      	12:15                           	                                	08:26                           	11.90                	                     	7.10                 	8:19 AM                       	                              	                              	09:37                               	                                    	                                    	10.4                     	                         	                         
4                   	4546         	1               	27          	          	8:20 AM                      	                             	3:44 PM                      	11:34                           	                                	08:44                           	11.26                	                     	10.42                	8:23 AM                       	                              	3:41 PM                       	12:12                               	                                    	08:44                               	12.7                     	                         	11.0                     
4                   	4548         	1               	27          	          	8:21 AM                      	                             	3:44 PM                      	11:35                           	                                	07:15                           	8.61                 	                     	12.92                	8:18 AM                       	                              	3:37 PM                       	13:40                               	                                    	09:53                               	16.8                     	                         	9.5                      
4                   	4550         	1               	26          	          	8:19 AM                      	                             	3:44 PM                      	14:46                           	                                	08:09                           	14.19                	                     	11.65                	8:17 AM                       	                              	3:37 PM                       	14:56                               	                                    	10:47                               	13.8                     	                         	7.5                      
4                   	4065         	1               	30          	          	8:19 AM                      	                             	3:40 PM                      	02:34                           	                                	03:21                           	5.44                 	                     	2.79                 	8:22 AM                       	                              	3:38 PM                       	02:34                               	                                    	03:15                               	5.4                      	                         	2.5                      
5                   	5408         	1               	14          	          	9:35 AM                      	1:06 PM                      	4:41 PM                      	12:42                           	03:15                           	12:18                           	12.58                	3.05                 	4.40                 	9:34 AM                       	1:32 PM                       	4:45 PM                       	11:15                               	04:35                               	03:38                               	11.2                     	2.5                      	2.7                      
5                   	4554         	1               	1           	          	9:35 AM                      	1:17 PM                      	4:52 PM                      	07:06                           	06:03                           	08:31                           	6.85                 	1.73                 	0.62                 	                              	                              	4:55 PM                       	                                    	                                    	10:00                               	                         	                         	0.5                      
34                  	34           	1               	18          	          	                             	                             	                             	                                	                                	                                	311.04               	39.63                	                     	                              	                              	                              	                                    	                                    	                                    	294.6                    	45.5                     	                         
[Group Number] < '8'	             	                	            	          	                             	                             	                             	                                	                                	                                	                     	                     	                     	                              	                              	                              	                                    	                                    	                                    	                         	                         	                         
