Número do grupo        	Número do animal	Número de lactação	Dias em Lactação	Pico de produção	Horário de Ordenha Hoje para Sessão 1	Horário de Ordenha Hoje para Sessão 2	Horário de Ordenha Hoje para Sessão 3	Duração de hoje para a sessão 1 (mm:ss)	Duração de hoje para a sessão 2 (mm:ss)	Duração de hoje para a sessão 3 (mm:ss)	Produção hoje na sessão 1	Produção hoje na sessão 2	Produção hoje na sessão 3	Sessão de hora de início 1 ontem	Sessão de hora de início 2 ontem	Sessão de hora de início 3 ontem	Duração da sessão ontem 1 (mm:ss)	Duração da sessão ontem 2 (mm:ss)	Duração da sessão ontem 3 (mm:ss)	Produção ontem da sessão 1	Produção ontem da sessão 2	Produção ontem da sessão 3
1                      	2624            	2                 	159             	                	                                     	                                     	                                     	                                       	                                       	                                       	                         	                         	                         	                                	                                	                                	                                 	                                 	                                 	                          	                          	                          
1                      	2662            	2                 	188             	                	                                     	                                     	                                     	                                       	                                       	                                       	                         	                         	                         	                                	                                	                                	                                 	                                 	                                 	                          	                          	                          
1                      	3652            	2                 	140             	                	                                     	                                     	                                     	                                       	                                       	                                       	                         	                         	                         	                                	                                	                                	                                 	                                 	                                 	                          	                          	                          
1                      	653             	2                 	175             	                	                                     	                                     	                                     	                                       	                                       	                                       	                         	                         	                         	                                	                                	                                	                                 	                                 	                                 	                          	                          	                          
1                      	2623            	1                 	141             	                	                                     	                                     	                                     	                                       	                                       	                                       	                         	                         	                         	                                	                                	                                	                                 	                                 	                                 	                          	                          	                          
1                      	4588            	0                 	                	                	                                     	                                     	                                     	                                       	                                       	                                       	                         	                         	                         	                                	                                	                                	                                 	                                 	                                 	                          	                          	                          
1                      	4549            	0                 	                	                	                                     	                                     	                                     	                                       	                                       	                                       	                         	                         	                         	                                	                                	                                	                                 	                                 	                                 	                          	                          	                          
1                      	4498            	1                 	135             	                	                                     	                                     	                                     	                                       	                                       	                                       	                         	                         	                         	                                	                                	                                	                                 	                                 	                                 	                          	                          	                          
1                      	4448            	1                 	200             	                	                                     	                                     	                                     	                                       	                                       	                                       	                         	                         	                         	                                	                                	                                	                                 	                                 	                                 	                          	                          	                          
1                      	4412            	2                 	138             	                	                                     	                                     	                                     	                                       	                                       	                                       	                         	                         	                         	                                	                                	                                	                                 	                                 	                                 	                          	                          	                          
1                      	4421            	1                 	167             	                	                                     	                                     	                                     	                                       	                                       	                                       	                         	                         	                         	                                	                                	                                	                                 	                                 	                                 	                          	                          	                          
1                      	4021            	2                 	145             	                	                                     	                                     	                                     	                                       	                                       	                                       	                         	                         	                         	                                	                                	                                	                                 	                                 	                                 	                          	                          	                          
1                      	3579            	1                 	130             	                	                                     	                                     	                                     	                                       	                                       	                                       	                         	                         	                         	                                	                                	                                	                                 	                                 	                                 	                          	                          	                          
1                      	3527            	1                 	149             	                	                                     	                                     	                                     	                                       	                                       	                                       	                         	                         	                         	                                	                                	                                	                                 	                                 	                                 	                          	                          	                          
1                      	3500            	2                 	146             	                	                                     	                                     	                                     	                                       	                                       	                                       	                         	                         	                         	                                	                                	                                	                                 	                                 	                                 	                          	                          	                          
1                      	3475            	1                 	157             	                	                                     	                                     	                                     	                                       	                                       	                                       	                         	                         	                         	                                	                                	                                	                                 	                                 	                                 	                          	                          	                          
1                      	3424            	1                 	154             	                	                                     	                                     	                                     	                                       	                                       	                                       	                         	                         	                         	                                	                                	                                	                                 	                                 	                                 	                          	                          	                          
1                      	2581            	1                 	182             	                	                                     	                                     	                                     	                                       	                                       	                                       	                         	                         	                         	                                	                                	                                	                                 	                                 	                                 	                          	                          	                          
1                      	2567            	1                 	147             	                	                                     	                                     	                                     	                                       	                                       	                                       	                         	                         	                         	                                	                                	                                	                                 	                                 	                                 	                          	                          	                          
1                      	2468            	2                 	168             	                	                                     	                                     	                                     	                                       	                                       	                                       	                         	                         	                         	                                	                                	                                	                                 	                                 	                                 	                          	                          	                          
1                      	2406            	2                 	143             	                	                                     	                                     	                                     	                                       	                                       	                                       	                         	                         	                         	                                	                                	                                	                                 	                                 	                                 	                          	                          	                          
2                      	5402            	1                 	164             	8,57            	                                     	                                     	                                     	                                       	                                       	                                       	                         	                         	                         	                                	                                	                                	                                 	                                 	                                 	                          	                          	                          
2                      	4585            	1                 	163             	23,70           	08:42                                	15:57                                	                                     	09:32                                  	04:53                                  	                                       	10,78                    	5,33                     	                         	08:45                           	16:06                           	                                	08:03                            	04:23                            	                                 	11,7                      	5,7                       	                          
2                      	4586            	1                 	168             	12,32           	08:41                                	15:55                                	                                     	12:29                                  	06:54                                  	                                       	10,22                    	5,02                     	                         	08:47                           	16:05                           	                                	10:59                            	09:34                            	                                 	8,4                       	6,1                       	                          
2                      	4575            	1                 	161             	22,08           	08:41                                	15:57                                	                                     	12:23                                  	07:11                                  	                                       	14,28                    	6,59                     	                         	08:46                           	16:06                           	                                	11:45                            	06:50                            	                                 	15,0                      	6,6                       	                          
2                      	4577            	1                 	161             	9,55            	                                     	                                     	                                     	                                       	                                       	                                       	                         	                         	                         	                                	                                	                                	                                 	                                 	                                 	                          	                          	                          
2                      	4545            	1                 	160             	23,76           	08:42                                	15:56                                	                                     	12:37                                  	12:20                                  	                                       	13,92                    	6,26                     	                         	08:46                           	16:04                           	                                	12:27                            	16:47                            	                                 	14,4                      	6,1                       	                          
2                      	4536            	1                 	164             	24,00           	08:42                                	15:56                                	                                     	08:41                                  	07:33                                  	                                       	10,45                    	5,04                     	                         	08:46                           	16:05                           	                                	09:36                            	06:03                            	                                 	12,3                      	5,4                       	                          
2                      	4537            	1                 	161             	15,82           	08:40                                	15:57                                	                                     	03:48                                  	04:03                                  	                                       	2,42                     	2,23                     	                         	08:44                           	16:05                           	                                	05:05                            	03:50                            	                                 	2,4                       	2,3                       	                          
2                      	4528            	1                 	158             	8,05            	08:42                                	15:57                                	                                     	12:33                                  	11:40                                  	                                       	2,64                     	5,40                     	                         	10:08                           	17:14                           	                                	09:33                            	06:27                            	                                 	5,7                       	3,5                       	                          
3                      	5409            	1                 	166             	22,53           	09:00                                	16:14                                	                                     	11:50                                  	06:53                                  	                                       	12,45                    	5,92                     	                         	08:49                           	16:25                           	                                	11:51                            	07:18                            	                                 	12,3                      	5,4                       	                          
3                      	5403            	1                 	166             	25,92           	09:00                                	16:14                                	                                     	08:44                                  	06:43                                  	                                       	12,03                    	5,62                     	                         	09:03                           	16:18                           	                                	06:56                            	05:10                            	                                 	12,5                      	5,6                       	                          
3                      	4582            	1                 	165             	22,70           	08:42                                	15:57                                	                                     	06:27                                  	05:18                                  	                                       	5,39                     	3,42                     	                         	08:44                           	16:06                           	                                	10:28                            	15:10                            	                                 	6,1                       	3,3                       	                          
