Número do grupo        	Número do animal	Número de lactação	Dias em Lactação	Pico de produção	Horário de Ordenha Hoje para Sessão 1	Horário de Ordenha Hoje para Sessão 2	Horário de Ordenha Hoje para Sessão 3	Duração de hoje para a sessão 1 (mm:ss)	Duração de hoje para a sessão 2 (mm:ss)	Duração de hoje para a sessão 3 (mm:ss)	Produção hoje na sessão 1	Produção hoje na sessão 2	Produção hoje na sessão 3	Sessão de hora de início 1 ontem	Sessão de hora de início 2 ontem	Sessão de hora de início 3 ontem	Duração da sessão ontem 1 (mm:ss)	Duração da sessão ontem 2 (mm:ss)	Duração da sessão ontem 3 (mm:ss)	Produção ontem da sessão 1	Produção ontem da sessão 2	Produção ontem da sessão 3
1                      	653             	2                 	153             	                	08:02                                	                                     	                                     	07:22                                  	                                       	                                       	13,05                    	                         	                         	08:06                           	17:13                           	                                	07:22                            	05:41                            	                                 	13,6                      	10,9                      	                          
1                      	2623            	1                 	119             	                	08:16                                	                                     	                                     	07:08                                  	                                       	                                       	14,44                    	                         	                         	08:06                           	16:07                           	                                	07:57                            	05:02                            	                                 	14,4                      	8,6                       	                          
1                      	2624            	2                 	137             	                	08:16                                	                                     	                                     	17:04                                  	                                       	                                       	13,40                    	                         	                         	08:15                           	16:24                           	                                	12:13                            	10:25                            	                                 	13,7                      	5,9                       	                          
1                      	2662            	2                 	166             	                	09:27                                	                                     	                                     	07:30                                  	                                       	                                       	13,69                    	                         	                         	09:20                           	                                	                                	07:39                            	                                 	                                 	13,7                      	                          	                          
1                      	3652            	2                 	118             	                	08:03                                	                                     	                                     	06:51                                  	                                       	                                       	14,00                    	                         	                         	07:53                           	16:25                           	                                	06:21                            	03:54                            	                                 	15,0                      	8,0                       	                          
1                      	4588            	0                 	                	                	                                     	                                     	                                     	                                       	                                       	                                       	                         	                         	                         	                                	                                	                                	                                 	                                 	                                 	                          	                          	                          
1                      	4549            	0                 	                	                	                                     	                                     	                                     	                                       	                                       	                                       	                         	                         	                         	                                	                                	                                	                                 	                                 	                                 	                          	                          	                          
1                      	4498            	1                 	113             	                	08:15                                	                                     	                                     	17:44                                  	                                       	                                       	13,95                    	                         	                         	07:50                           	16:14                           	                                	21:08                            	12:17                            	                                 	12,9                      	8,4                       	                          
1                      	4448            	1                 	178             	                	08:02                                	                                     	                                     	05:13                                  	                                       	                                       	11,81                    	                         	                         	07:52                           	16:07                           	                                	09:32                            	06:01                            	                                 	11,9                      	6,9                       	                          
1                      	4412            	2                 	116             	                	08:03                                	                                     	                                     	05:38                                  	                                       	                                       	8,91                     	                         	                         	07:52                           	17:13                           	                                	05:59                            	04:45                            	                                 	10,1                      	6,3                       	                          
1                      	4421            	1                 	145             	                	08:17                                	                                     	                                     	07:45                                  	                                       	                                       	7,97                     	                         	                         	08:07                           	16:07                           	                                	05:47                            	10:11                            	                                 	8,4                       	4,9                       	                          
1                      	4021            	2                 	123             	                	08:17                                	                                     	                                     	09:04                                  	                                       	                                       	13,08                    	                         	                         	08:19                           	16:29                           	                                	07:36                            	05:20                            	                                 	20,7                      	8,0                       	                          
1                      	3579            	1                 	108             	                	08:02                                	                                     	                                     	07:43                                  	                                       	                                       	13,07                    	                         	                         	07:49                           	16:13                           	                                	07:28                            	06:27                            	                                 	12,0                      	7,9                       	                          
1                      	3527            	1                 	127             	                	                                     	                                     	                                     	                                       	                                       	                                       	                         	                         	                         	                                	                                	                                	                                 	                                 	                                 	                          	                          	                          
1                      	3500            	2                 	124             	                	08:17                                	                                     	                                     	06:44                                  	                                       	                                       	13,37                    	                         	                         	08:15                           	16:13                           	                                	06:45                            	04:38                            	                                 	14,5                      	7,7                       	                          
