Animal Number,Group Number,Days In Milk,Lactation Number,Date,Parlor Name,Parlor Number,Session Number,Batch Number,MPC Number,Id Time,Begin Time,Milk duration (mm:ss),End Time,Yield,Rel. Yield (%),Yield First 2 Min.,ECM Yield,Low Yield,Second Lap
4573,4,55,1,5/10/2017,Parlor1,1,1,1,3,,5/10/2017 8:23 AM,11:23,8:35 AM,4.25,119.00,0.70,,Unchecked,Unchecked
4587,4,60,1,5/10/2017,Parlor1,1,1,1,4,,5/10/2017 8:24 AM,14:57,8:39 AM,9.36,154.00,1.10,,Unchecked,Unchecked
4546,4,57,1,5/10/2017,Parlor1,1,1,1,2,,5/10/2017 8:23 AM,15:19,8:38 AM,12.27,177.00,0.80,,Unchecked,Unchecked
4548,4,57,1,5/10/2017,Parlor1,1,1,1,1,,5/10/2017 8:22 AM,13:34,8:36 AM,13.65,244.00,3.08,,Unchecked,Unchecked
4065,4,60,1,5/10/2017,Parlor1,1,1,2,8,,5/10/2017 8:25 AM,05:54,8:31 AM,1.49,71.00,1.15,,Checked,Unchecked
5407,4,56,1,5/10/2017,Parlor1,1,1,2,7,,5/10/2017 8:25 AM,13:39,8:39 AM,10.70,212.00,0.65,,Unchecked,Unchecked
4581,4,57,1,5/10/2017,Parlor1,1,1,2,6,,5/10/2017 8:24 AM,30:22,8:55 AM,11.93,216.00,0.90,,Unchecked,Unchecked
4583,4,58,1,5/10/2017,Parlor1,1,1,2,5,,5/10/2017 8:24 AM,11:05,8:35 AM,8.96,138.00,0.00,,Unchecked,Unchecked
4551,3,52,1,5/10/2017,Parlor1,1,1,3,3,,5/10/2017 8:46 AM,11:07,8:58 AM,6.85,104.00,1.18,,Unchecked,Unchecked
4535,3,52,1,5/10/2017,Parlor1,1,1,3,4,,5/10/2017 8:46 AM,11:55,8:58 AM,6.34,135.00,1.28,,Unchecked,Unchecked
5409,3,53,1,5/10/2017,Parlor1,1,1,3,2,,5/10/2017 8:46 AM,15:12,9:01 AM,9.82,108.00,2.03,,Unchecked,Unchecked
4550,4,56,1,5/10/2017,Parlor1,1,1,3,1,,5/10/2017 8:45 AM,13:10,8:59 AM,10.07,180.00,0.75,,Unchecked,Unchecked
4066,3,55,1,5/10/2017,Parlor1,1,1,4,8,,5/10/2017 9:04 AM,15:37,9:20 AM,8.57,162.00,0.85,,Unchecked,Unchecked
4525,3,52,1,5/10/2017,Parlor1,1,1,4,7,,5/10/2017 9:03 AM,16:22,9:20 AM,8.58,185.00,1.35,,Unchecked,Unchecked
5402,2,51,1,5/10/2017,Parlor1,1,1,4,6,,5/10/2017 9:03 AM,16:23,9:19 AM,2.94,100.00,2.25,,Unchecked,Unchecked
4536,2,51,1,5/10/2017,Parlor1,1,1,5,3,,5/10/2017 9:12 AM,17:15,9:29 AM,4.46,100.00,1.28,,Unchecked,Unchecked
4582,3,52,1,5/10/2017,Parlor1,1,1,5,4,,5/10/2017 9:12 AM,17:25,9:29 AM,8.06,100.00,1.10,,Unchecked,Unchecked
4560,3,54,1,5/10/2017,Parlor1,1,1,5,2,,5/10/2017 9:11 AM,17:54,9:29 AM,4.62,100.00,0.75,,Unchecked,Unchecked
4586,2,55,1,5/10/2017,Parlor1,1,1,5,1,,5/10/2017 9:18 AM,10:45,9:29 AM,3.20,87.00,0.58,,Unchecked,Unchecked
4587,4,60,1,5/10/2017,Parlor1,1,2,1,5,,5/10/2017 1:33 PM,08:33,1:41 PM,0.00,0.00,1.15,,Unchecked,Unchecked
4548,4,57,1,5/10/2017,Parlor1,1,2,2,4,,5/10/2017 1:05 PM,08:37,1:13 PM,3.94,237.00,2.08,,Unchecked,Unchecked
5407,4,56,1,5/10/2017,Parlor1,1,2,2,2,,5/10/2017 1:04 PM,09:17,1:13 PM,4.01,200.00,1.10,,Unchecked,Unchecked
4583,4,58,1,5/10/2017,Parlor1,1,2,2,1,,5/10/2017 1:04 PM,09:30,1:13 PM,4.29,225.00,2.73,,Unchecked,Unchecked
4582,3,52,1,5/10/2017,Parlor1,1,2,3,4,,5/10/2017 1:47 PM,13:22,2:00 PM,2.09,100.00,0.00,,Unchecked,Unchecked
4066,3,55,1,5/10/2017,Parlor1,1,2,1,8,,5/10/2017 1:48 PM,03:17,1:51 PM,0.90,58.00,1.03,,Checked,Unchecked
4560,3,54,1,5/10/2017,Parlor1,1,2,1,7,,5/10/2017 1:34 PM,07:15,1:41 PM,3.66,200.00,0.00,,Unchecked,Unchecked
5409,3,53,1,5/10/2017,Parlor1,1,2,1,6,,5/10/2017 1:33 PM,16:57,1:50 PM,3.01,108.00,0.00,,Unchecked,Unchecked
5403,3,53,1,5/10/2017,Parlor1,1,2,1,5,,5/10/2017 1:43 PM,08:33,1:51 PM,2.74,57.00,0.00,,Checked,Unchecked
4585,2,50,1,5/10/2017,Parlor1,1,2,3,3,,5/10/2017 1:46 PM,11:05,1:57 PM,2.28,100.00,0.00,,Unchecked,Unchecked
4536,2,51,1,5/10/2017,Parlor1,1,2,3,2,,5/10/2017 1:46 PM,11:17,1:57 PM,1.19,100.00,0.00,,Unchecked,Unchecked
4525,3,52,1,5/10/2017,Parlor1,1,2,3,1,,5/10/2017 1:45 PM,10:00,1:55 PM,2.82,207.00,0.00,,Unchecked,Unchecked
4065,4,60,1,5/10/2017,Parlor1,1,2,0,8,,5/10/2017 1:05 PM,07:59,1:13 PM,1.07,0.00,0.85,,Unchecked,Unchecked
4535,3,52,1,5/10/2017,Parlor1,1,2,0,4,,5/10/2017 1:24 PM,10:47,1:35 PM,2.39,0.00,0.68,,Unchecked,Unchecked
4550,4,56,1,5/10/2017,Parlor1,1,2,0,1,,5/10/2017 1:23 PM,08:00,1:31 PM,2.87,0.00,0.00,,Unchecked,Unchecked
4551,3,52,1,5/10/2017,Parlor1,1,2,0,2,,5/10/2017 1:24 PM,11:17,1:35 PM,3.38,0.00,1.83,,Unchecked,Unchecked
4573,4,55,1,5/10/2017,Parlor1,1,2,0,7,,5/10/2017 1:06 PM,07:15,1:13 PM,2.59,0.00,1.13,,Unchecked,Unchecked
4581,4,57,1,5/10/2017,Parlor1,1,2,0,6,,5/10/2017 1:05 PM,16:57,1:22 PM,2.87,0.00,0.95,,Unchecked,Unchecked
5402,2,51,1,5/10/2017,Parlor1,1,2,0,3,,5/10/2017 1:24 PM,11:05,1:35 PM,3.11,0.00,1.70,,Unchecked,Unchecked
4586,2,55,1,5/10/2017,Parlor1,1,2,0,5,,5/10/2017 1:58 PM,09:06,2:08 PM,0.00,0.00,0.55,,Unchecked,Unchecked
4550,4,56,1,5/10/2017,Parlor1,1,3,1,3,,5/10/2017 3:45 PM,06:26,3:51 PM,2.20,252.00,1.00,,Unchecked,Unchecked
