Número do animal;Número do grupo;Dias em Lactação;Número de lactação;Data;Nome da sala de ordenha;Número da sala de ordenha;Número da sessão;Número do lote;Número de MPC;Hora ID;Hora de início;Duração do leite (mm:ss);Hora do fim;Produção (kg);Produção Relativa (%);Produção primeiros 2 minutos;Produção de LEC;Baixa produção;Segunda volta
4573;4;132;1;10/05/2017;Parlor1;1;1;1;3;;10/05/2017 08:23;11:23;08:35;4,25;119,00;0,70;;Unchecked;Unchecked
4587;4;137;1;10/05/2017;Parlor1;1;1;1;4;;10/05/2017 08:24;14:57;08:39;9,36;154,00;1,10;;Unchecked;Unchecked
4546;4;134;1;10/05/2017;Parlor1;1;1;1;2;;10/05/2017 08:23;15:19;08:38;12,27;177,00;0,80;;Unchecked;Unchecked
4548;4;134;1;10/05/2017;Parlor1;1;1;1;1;;10/05/2017 08:22;13:34;08:36;13,65;244,00;3,08;;Unchecked;Unchecked
4065;4;137;1;10/05/2017;Parlor1;1;1;2;8;;10/05/2017 08:25;05:54;08:31;1,49;71,00;1,15;;Checked;Unchecked
5407;4;133;1;10/05/2017;Parlor1;1;1;2;7;;10/05/2017 08:25;13:39;08:39;10,70;212,00;0,65;;Unchecked;Unchecked
4581;4;134;1;10/05/2017;Parlor1;1;1;2;6;;10/05/2017 08:24;30:22;08:55;11,93;216,00;0,90;;Unchecked;Unchecked
4583;4;135;1;10/05/2017;Parlor1;1;1;2;5;;10/05/2017 08:24;11:05;08:35;8,96;138,00;0,00;;Unchecked;Unchecked
4551;3;129;1;10/05/2017;Parlor1;1;1;3;3;;10/05/2017 08:46;11:07;08:58;6,85;104,00;1,18;;Unchecked;Unchecked
4535;3;129;1;10/05/2017;Parlor1;1;1;3;4;;10/05/2017 08:46;11:55;08:58;6,34;135,00;1,28;;Unchecked;Unchecked
5409;3;130;1;10/05/2017;Parlor1;1;1;3;2;;10/05/2017 08:46;15:12;09:01;9,82;108,00;2,03;;Unchecked;Unchecked
4550;4;133;1;10/05/2017;Parlor1;1;1;3;1;;10/05/2017 08:45;13:10;08:59;10,07;180,00;0,75;;Unchecked;Unchecked
4066;3;132;1;10/05/2017;Parlor1;1;1;4;8;;10/05/2017 09:04;15:37;09:20;8,57;162,00;0,85;;Unchecked;Unchecked
4525;3;129;1;10/05/2017;Parlor1;1;1;4;7;;10/05/2017 09:03;16:22;09:20;8,58;185,00;1,35;;Unchecked;Unchecked
5402;2;128;1;10/05/2017;Parlor1;1;1;4;6;;10/05/2017 09:03;16:23;09:19;2,94;100,00;2,25;;Unchecked;Unchecked
4536;2;128;1;10/05/2017;Parlor1;1;1;5;3;;10/05/2017 09:12;17:15;09:29;4,46;100,00;1,28;;Unchecked;Unchecked
4582;3;129;1;10/05/2017;Parlor1;1;1;5;4;;10/05/2017 09:12;17:25;09:29;8,06;100,00;1,10;;Unchecked;Unchecked
4560;3;131;1;10/05/2017;Parlor1;1;1;5;2;;10/05/2017 09:11;17:54;09:29;4,62;100,00;0,75;;Unchecked;Unchecked
4586;2;132;1;10/05/2017;Parlor1;1;1;5;1;;10/05/2017 09:18;10:45;09:29;3,20;87,00;0,58;;Unchecked;Unchecked
4587;4;137;1;10/05/2017;Parlor1;1;2;1;5;;10/05/2017 13:33;08:33;13:41;0,00;0,00;1,15;;Unchecked;Unchecked
4548;4;134;1;10/05/2017;Parlor1;1;2;2;4;;10/05/2017 13:05;08:37;13:13;3,94;237,00;2,08;;Unchecked;Unchecked
5407;4;133;1;10/05/2017;Parlor1;1;2;2;2;;10/05/2017 13:04;09:17;13:13;4,01;200,00;1,10;;Unchecked;Unchecked
4583;4;135;1;10/05/2017;Parlor1;1;2;2;1;;10/05/2017 13:04;09:30;13:13;4,29;225,00;2,73;;Unchecked;Unchecked
4582;3;129;1;10/05/2017;Parlor1;1;2;3;4;;10/05/2017 13:47;13:22;14:00;2,09;100,00;0,00;;Unchecked;Unchecked
4066;3;132;1;10/05/2017;Parlor1;1;2;1;8;;10/05/2017 13:48;03:17;13:51;0,90;58,00;1,03;;Checked;Unchecked
4560;3;131;1;10/05/2017;Parlor1;1;2;1;7;;10/05/2017 13:34;07:15;13:41;3,66;200,00;0,00;;Unchecked;Unchecked
5409;3;130;1;10/05/2017;Parlor1;1;2;1;6;;10/05/2017 13:33;16:57;13:50;3,01;108,00;0,00;;Unchecked;Unchecked
5403;3;130;1;10/05/2017;Parlor1;1;2;1;5;;10/05/2017 13:43;08:33;13:51;2,74;57,00;0,00;;Checked;Unchecked
4585;2;127;1;10/05/2017;Parlor1;1;2;3;3;;10/05/2017 13:46;11:05;13:57;2,28;100,00;0,00;;Unchecked;Unchecked
4536;2;128;1;10/05/2017;Parlor1;1;2;3;2;;10/05/2017 13:46;11:17;13:57;1,19;100,00;0,00;;Unchecked;Unchecked
4525;3;129;1;10/05/2017;Parlor1;1;2;3;1;;10/05/2017 13:45;10:00;13:55;2,82;207,00;0,00;;Unchecked;Unchecked
4065;4;137;1;10/05/2017;Parlor1;1;2;0;8;;10/05/2017 13:05;07:59;13:13;1,07;0,00;0,85;;Unchecked;Unchecked
4535;3;129;1;10/05/2017;Parlor1;1;2;0;4;;10/05/2017 13:24;10:47;13:35;2,39;0,00;0,68;;Unchecked;Unchecked
4550;4;133;1;10/05/2017;Parlor1;1;2;0;1;;10/05/2017 13:23;08:00;13:31;2,87;0,00;0,00;;Unchecked;Unchecked
4551;3;129;1;10/05/2017;Parlor1;1;2;0;2;;10/05/2017 13:24;11:17;13:35;3,38;0,00;1,83;;Unchecked;Unchecked
4573;4;132;1;10/05/2017;Parlor1;1;2;0;7;;10/05/2017 13:06;07:15;13:13;2,59;0,00;1,13;;Unchecked;Unchecked
4581;4;134;1;10/05/2017;Parlor1;1;2;0;6;;10/05/2017 13:05;16:57;13:22;2,87;0,00;0,95;;Unchecked;Unchecked
5402;2;128;1;10/05/2017;Parlor1;1;2;0;3;;10/05/2017 13:24;11:05;13:35;3,11;0,00;1,70;;Unchecked;Unchecked
4586;2;132;1;10/05/2017;Parlor1;1;2;0;5;;10/05/2017 13:58;09:06;14:08;0,00;0,00;0,55;;Unchecked;Unchecked
4550;4;133;1;10/05/2017;Parlor1;1;3;1;3;;10/05/2017 15:45;06:26;15:51;2,20;252,00;1,00;;Unchecked;Unchecked
4548;4;134;1;10/05/2017;Parlor1;1;3;1;4;;10/05/2017 15:44;06:23;15:50;2,23;227,00;1,78;;Unchecked;Unchecked
4583;4;135;1;10/05/2017;Parlor1;1;3;1;2;;10/05/2017 15:43;06:39;15:50;2,53;221,00;1,78;;Unchecked;Unchecked
4573;4;132;1;10/05/2017;Parlor1;1;3;1;1;;10/05/2017 15:44;06:49;15:51;1,03;177,00;0,78;;Unchecked;Unchecked
5407;4;133;1;10/05/2017;Parlor1;1;3;2;8;;10/05/2017 15:46;07:24;15:53;1,76;204,00;1,18;;Unchecked;Unchecked
4065;4;137;1;10/05/2017;Parlor1;1;3;2;7;;10/05/2017 15:46;08:44;15:55;0,82;234,00;1,52;;Unchecked;Unchecked
4546;4;134;1;10/05/2017;Parlor1;1;3;2;6;;10/05/2017 15:46;13:49;16:00;2,65;81,00;3,80;;Unchecked;Unchecked
4581;4;134;1;10/05/2017;Parlor1;1;3;2;5;;10/05/2017 16:07;09:06;16:16;2,67;200,00;3,50;;Unchecked;Unchecked
5409;3;130;1;10/05/2017;Parlor1;1;3;3;3;;10/05/2017 15:56;04:48;16:00;1,30;97,00;1,05;;Unchecked;Unchecked
5402;2;128;1;10/05/2017;Parlor1;1;3;3;4;;10/05/2017 15:55;07:22;16:03;1,87;100,00;1,78;;Unchecked;Unchecked
4066;3;132;1;10/05/2017;Parlor1;1;3;3;2;;10/05/2017 15:55;06:10;16:01;3,35;200,00;1,43;;Unchecked;Unchecked
